time,x-gyro,y-gyro,z-gyro
1639448394195,-17.484756,-317.40854,-64.801834
1639448394224,-16.112804,-335.5183,-60.990856
1639448394255,-44.618904,-400.3354,-34.542683
1639448394255,-107.75915,-402.33234,-8.04878
1639448394314,-112.8811,-336.4939,-12.179878
1639448394315,-94.29878,-255.91464,-39.969513
1639448394315,-92.118904,-171.38719,-63.018295
1639448394345,-137.08842,-113.07927,-96.61585
1639448394404,-301.52438,66.189026,-159.4817
1639448394405,-353.81097,248.62805,-125.03049
1639448394407,-253.76524,270.85367,-53.39939
1639448394434,-86.82927,242.28659,14.344513
1639448394436,30.884148,241.49391,67.05793
1639448394464,60.838417,265.67075,108.14024
1639448394495,22.5,293.07928,131.09756
1639448394495,-36.387196,298.46036,123.61281
1639448394524,-72.54573,286.78354,95.59451
1639448394555,-77.256096,292.6677,64.39024
1639448394555,-50.70122,297.83536,55.80793
1639448394584,-38.109756,294.46646,81.11281
1639448394614,-31.280489,292.21036,119.77135
1639448394616,-1.5396342,275.42685,139.81708
1639448394645,31.82927,257.62195,137.37805
1639448394674,26.463415,256.93597,129.90854
1639448394675,9.573171,250.92989,113.81098
1639448394705,25.807928,219.77135,85.10671
1639448394734,43.048782,148.47562,32.30183
1639448394736,-45.548782,83.597565,-29.207317
1639448394795,-127.46951,-1.0670732,-73.56708
1639448394795,-53.536587,-100.79269,-126.78354
1639448394797,14.054878,-124.54269,-138.59756
1639448394825,9.817074,-110.22866,-105.22866
1639448394854,-20.060976,-115.85366,-58.39939
1639448394855,-2.4085367,-129.8933,-27.896341
1639448394884,90.10671,-86.06708,-44.390244
1639448394914,242.34756,-118.38415,-127.51524
1639448394916,26.280489,-379.00916,-150.07622
1639448394945,137.10367,32.77439,-32.14939
1639448394974,-37.2561,-2.652439,-5.6859756
1639448394975,-13.734756,-50.762196,-5.121951
1639448395004,-18.414635,-34.95427,0.015243903
1639448395035,-2.179878,-24.664635,-0.12195122
1639448395065,6.265244,-18.399391,3.8719513
1639448395065,5.335366,-10.426829,7.3018293
1639448395095,-4.2073174,-4.1920733,10.807927
1639448395125,-10.259147,5.0762196,15.97561
1639448395126,0.6097561,4.893293,12.972561
1639448395155,-4.10061,-6.3719516,3.2012196
1639448395184,-0.7469512,-9.176829,8.734756
1639448395185,6.8292685,-9.72561,13.887196
1639448395214,15.625,-8.689025,15.152439
1639448395245,1.9359757,-14.908537,10.716464
1639448395245,12.57622,-16.966463,-1.402439
1639448395275,6.539634,-22.530489,-9.92378
1639448395304,-18.018293,-34.817074,-15.594513
1639448395334,0.27439025,-32.987804,-13.231708
1639448395335,4.679878,-31.17378,-14.314025
1639448395364,-0.18292683,-35.457317,-13.551829
1639448395365,-13.887196,-50.411587,-9.512196
1639448395395,-26.844513,-69.618904,-0.92987806
1639448395425,-54.512196,-87.04269,14.375
1639448395426,-78.00305,-111.143295,16.509148
1639448395455,-78.20122,-143.76524,-10.960366
1639448395487,-80.21342,-191.23476,-37.07317
1639448395488,-79.25305,-263.06403,-37.393295
1639448395516,-50.07622,-356.75305,-39.573174
1639448395545,-48.27744,-455.21344,5.2286587
1639448395545,-213.67378,-499.49695,99.83232
1639448395575,-282.86588,-494.69513,95.59451
1639448395605,-212.21037,-375.3811,55.594513
1639448395606,-332.0884,-173.49086,27.911587
1639448395635,-479.00916,-47.34756,-160.92989
1639448395695,-422.8049,206.7683,-250.03049
1639448395695,-331.2805,332.78964,-171.73781
1639448395695,-114.46647,294.90854,-57.271343
1639448395724,68.04878,231.0061,45.85366
1639448395725,89.29878,235.18294,133.14024
1639448395755,40.487804,276.67685,183.09451
1639448395784,-4.679878,317.98782,197.0122
1639448395785,-20.47256,334.8933,176.61586
1639448395815,-20.320122,337.8811,129.87805
1639448395845,-6.417683,351.40244,78.2622
1639448395845,16.493902,362.4238,40.77744
1639448395875,20.655489,375.39636,30.274391
1639448395904,24.466463,387.8049,39.862804
