time,x-gyro,y-gyro,z-gyro
2021-11-09T17:36:53.565,-0.183,0.427,-0.915
2021-11-09T17:36:53.566,-0.213,0.457,-0.701
2021-11-09T17:36:53.576,-0.457,0.000,-0.457
2021-11-09T17:36:53.599,-0.579,-0.030,-0.457
2021-11-09T17:36:53.621,-0.854,0.091,-0.427
2021-11-09T17:36:53.634,-1.067,0.091,-0.305
2021-11-09T17:36:53.656,-0.915,0.152,-0.274
2021-11-09T17:36:53.679,-0.732,0.183,-0.213
2021-11-09T17:36:53.701,-0.488,0.122,-0.213
2021-11-09T17:36:53.716,-0.366,0.152,-0.213
2021-11-09T17:36:53.735,-0.396,0.152,-0.213
2021-11-09T17:36:53.757,-0.579,0.152,-0.305
2021-11-09T17:36:53.780,-0.701,0.183,-0.335
2021-11-09T17:36:53.791,-0.671,0.213,-0.396
2021-11-09T17:36:53.823,-0.701,0.244,-0.366
2021-11-09T17:36:53.835,-0.488,0.213,-0.305
2021-11-09T17:36:53.858,-0.396,0.244,-0.274
2021-11-09T17:36:53.871,-0.366,0.183,-0.274
2021-11-09T17:36:53.897,-0.427,0.183,-0.305
2021-11-09T17:36:53.926,-0.549,0.122,-0.274
2021-11-09T17:36:53.937,-0.732,0.122,-0.274
2021-11-09T17:36:53.960,-0.793,0.091,-0.335
2021-11-09T17:36:53.970,-0.915,0.061,-0.335
2021-11-09T17:36:53.995,-0.793,0.122,-0.335
2021-11-09T17:36:54.028,-0.732,0.244,-0.366
2021-11-09T17:36:54.039,-0.610,0.183,-0.366
2021-11-09T17:36:54.051,-0.579,0.152,-0.335
2021-11-09T17:36:54.072,-0.549,0.152,-0.366
2021-11-09T17:36:54.095,-0.579,0.183,-0.335
2021-11-09T17:36:54.130,-0.640,0.183,-0.335
2021-11-09T17:36:54.131,-0.549,0.213,-0.305
2021-11-09T17:36:54.151,-0.549,0.183,-0.274
2021-11-09T17:36:54.173,-0.549,0.244,-0.274
2021-11-09T17:36:54.206,-0.518,0.152,-0.274
2021-11-09T17:36:54.208,-0.549,0.091,-0.305
2021-11-09T17:36:54.229,-0.518,0.122,-0.274
2021-11-09T17:36:54.253,-0.549,0.152,-0.244
2021-11-09T17:36:54.276,-0.610,0.122,-0.274
2021-11-09T17:36:54.298,-0.671,0.183,-0.244
2021-11-09T17:36:54.308,-0.610,0.244,-0.244
2021-11-09T17:36:54.334,-0.671,0.183,-0.244
2021-11-09T17:36:54.353,-0.671,0.183,-0.274
2021-11-09T17:36:54.376,-0.701,0.213,-0.244
2021-11-09T17:36:54.388,-0.671,0.183,-0.305
2021-11-09T17:36:54.410,-0.671,0.122,-0.366
2021-11-09T17:36:54.433,-0.671,0.152,-0.396
2021-11-09T17:36:54.455,-0.579,0.091,-0.396
2021-11-09T17:36:54.465,-0.640,0.091,-0.335
2021-11-09T17:36:54.489,-0.610,0.122,-0.244
2021-11-09T17:36:54.510,-0.640,0.152,-0.305
2021-11-09T17:36:54.534,-0.640,0.183,-0.244
2021-11-09T17:36:54.555,-0.640,0.152,-0.274
2021-11-09T17:36:54.567,-0.549,0.213,-0.335
2021-11-09T17:36:54.601,-0.518,0.152,-0.366
2021-11-09T17:36:54.612,-0.518,0.122,-0.335
2021-11-09T17:36:54.635,-0.640,0.152,-0.335
2021-11-09T17:36:54.646,-0.732,0.152,-0.305
2021-11-09T17:36:54.670,-0.823,0.091,-0.335
2021-11-09T17:36:54.692,-0.823,0.091,-0.366
2021-11-09T17:36:54.713,-0.793,0.061,-0.366
2021-11-09T17:36:54.726,-0.732,0.122,-0.366
2021-11-09T17:36:54.748,-0.671,0.122,-0.305
2021-11-09T17:36:54.769,-0.579,0.122,-0.366
2021-11-09T17:36:54.792,-0.579,0.183,-0.335
2021-11-09T17:36:54.813,-0.427,0.152,-0.274
2021-11-09T17:36:54.825,-0.457,0.122,-0.274
2021-11-09T17:36:54.848,-0.366,0.091,-0.274
2021-11-09T17:36:54.871,-0.427,0.122,-0.305
2021-11-09T17:36:54.896,-0.488,0.152,-0.274
2021-11-09T17:36:54.904,-0.488,0.152,-0.335
2021-11-09T17:36:54.926,-0.457,0.152,-0.366
2021-11-09T17:36:54.960,-0.396,0.152,-0.366
2021-11-09T17:36:54.971,-0.366,0.152,-0.335
2021-11-09T17:36:54.982,-0.274,0.183,-0.366
2021-11-09T17:36:55.005,-0.457,0.213,-0.366
2021-11-09T17:36:55.028,-0.610,0.183,-0.366
2021-11-09T17:36:55.050,-0.610,0.183,-0.305
2021-11-09T17:36:55.061,-0.762,0.183,-0.305
2021-11-09T17:36:55.085,-0.823,0.183,-0.335
2021-11-09T17:36:55.106,-0.762,0.152,-0.274
2021-11-09T17:36:55.129,-0.671,0.061,-0.335
2021-11-09T17:36:55.152,-0.640,0.152,-0.366
2021-11-09T17:36:55.162,-0.640,0.152,-0.335
2021-11-09T17:36:55.187,-0.701,0.152,-0.366
2021-11-09T17:36:55.208,-0.488,0.122,-0.366
2021-11-09T17:36:55.230,-0.488,0.061,-0.366
2021-11-09T17:36:55.241,-0.427,0.091,-0.366
2021-11-09T17:36:55.263,-0.427,0.122,-0.366
2021-11-09T17:36:55.286,-0.427,0.213,-0.335
2021-11-09T17:36:55.308,-0.335,0.183,-0.335
2021-11-09T17:36:55.319,-0.396,0.213,-0.305
2021-11-09T17:36:55.342,-0.518,0.152,-0.305
2021-11-09T17:36:55.366,-0.610,0.213,-0.274
2021-11-09T17:36:55.388,-0.701,0.213,-0.274
2021-11-09T17:36:55.410,-0.762,0.152,-0.244
2021-11-09T17:36:55.421,-0.762,0.152,-0.274
2021-11-09T17:36:55.455,-0.732,0.152,-0.305
2021-11-09T17:36:55.466,-0.732,0.122,-0.366
2021-11-09T17:36:55.489,-0.671,0.152,-0.335
2021-11-09T17:36:55.500,-0.579,0.122,-0.305
2021-11-09T17:36:55.524,-0.579,0.122,-0.335
2021-11-09T17:36:55.545,-0.457,0.122,-0.335
2021-11-09T17:36:55.568,-0.488,0.152,-0.305
2021-11-09T17:36:55.579,-0.610,0.152,-0.274
2021-11-09T17:36:55.601,-0.671,0.244,-0.274
2021-11-09T17:36:55.646,-0.640,0.213,-0.213
2021-11-09T17:36:55.647,-0.640,0.152,-0.183
2021-11-09T17:36:55.669,-0.579,0.183,-0.213
2021-11-09T17:36:55.691,-0.518,0.213,-0.244
2021-11-09T17:36:55.713,-0.488,0.183,-0.244
2021-11-09T17:36:55.725,-0.518,0.152,-0.305
2021-11-09T17:36:55.748,-0.671,0.091,-0.366
2021-11-09T17:36:55.770,-0.671,0.061,-0.335
2021-11-09T17:36:55.781,-0.701,0.061,-0.427
2021-11-09T17:36:55.804,-0.793,0.030,-0.427
2021-11-09T17:36:55.826,-0.671,0.061,-0.396
2021-11-09T17:36:55.837,-0.579,0.122,-0.396
2021-11-09T17:36:55.863,-0.427,0.152,-0.335
2021-11-09T17:36:55.884,-0.427,0.061,-0.335
2021-11-09T17:36:55.905,-0.457,0.152,-0.274
2021-11-09T17:36:55.917,-0.549,0.183,-0.305
2021-11-09T17:36:55.941,-0.701,0.152,-0.244
2021-11-09T17:36:55.962,-0.671,0.183,-0.274
2021-11-09T17:36:55.986,-0.671,0.122,-0.305
2021-11-09T17:36:56.006,-0.671,0.061,-0.305
2021-11-09T17:36:56.018,-0.579,0.122,-0.274
2021-11-09T17:36:56.041,-0.518,0.091,-0.305
2021-11-09T17:36:56.075,-0.457,0.122,-0.305
2021-11-09T17:36:56.085,-0.549,0.122,-0.335
2021-11-09T17:36:56.096,-0.610,0.183,-0.335
2021-11-09T17:36:56.121,-0.701,0.213,-0.335
2021-11-09T17:36:56.141,-0.640,0.183,-0.366
2021-11-09T17:36:56.186,-0.549,0.183,-0.335
2021-11-09T17:36:56.188,-0.518,0.152,-0.335
2021-11-09T17:36:56.197,-0.427,0.152,-0.274
2021-11-09T17:36:56.220,-0.457,0.152,-0.274
2021-11-09T17:36:56.244,-0.518,0.122,-0.274
2021-11-09T17:36:56.278,-0.457,0.183,-0.274
2021-11-09T17:36:56.279,-0.518,0.152,-0.305
2021-11-09T17:36:56.300,-0.457,0.152,-0.274
2021-11-09T17:36:56.323,-0.549,0.244,-0.244
2021-11-09T17:36:56.347,-0.579,0.213,-0.244
2021-11-09T17:36:56.358,-0.488,0.213,-0.244
2021-11-09T17:36:56.381,-0.396,0.274,-0.274
2021-11-09T17:36:56.401,-0.457,0.183,-0.305
2021-11-09T17:36:56.430,-0.488,0.122,-0.335
2021-11-09T17:36:56.446,-0.518,0.122,-0.335
2021-11-09T17:36:56.457,-0.579,0.183,-0.396
2021-11-09T17:36:56.480,-0.640,0.213,-0.335
2021-11-09T17:36:56.515,-0.732,0.183,-0.335
2021-11-09T17:36:56.516,-0.793,0.152,-0.305
2021-11-09T17:36:56.537,-0.701,0.122,-0.305
2021-11-09T17:36:56.561,-0.549,0.183,-0.335
2021-11-09T17:36:56.582,-0.427,0.122,-0.366
2021-11-09T17:36:56.604,-0.488,0.061,-0.366
2021-11-09T17:36:56.615,-0.457,0.152,-0.335
2021-11-09T17:36:56.663,-0.457,0.244,-0.366
2021-11-09T17:36:56.671,-0.549,0.244,-0.305
2021-11-09T17:36:56.695,-0.579,0.274,-0.305
2021-11-09T17:36:56.696,-0.610,0.305,-0.335
2021-11-09T17:36:56.718,-0.549,0.274,-0.274
2021-11-09T17:36:56.739,-0.457,0.213,-0.244
2021-11-09T17:36:56.762,-0.488,0.213,-0.305
2021-11-09T17:36:56.773,-0.610,0.152,-0.335
2021-11-09T17:36:56.796,-0.671,0.122,-0.335
2021-11-09T17:36:56.829,-0.793,0.152,-0.366
2021-11-09T17:36:56.841,-0.823,0.152,-0.335
2021-11-09T17:36:56.863,-0.732,0.183,-0.366
2021-11-09T17:36:56.874,-0.579,0.183,-0.366
2021-11-09T17:36:56.898,-0.457,0.183,-0.366
2021-11-09T17:36:56.919,-0.549,0.213,-0.335
2021-11-09T17:36:56.941,-0.396,0.213,-0.335
2021-11-09T17:36:56.953,-0.244,0.244,-0.244
2021-11-09T17:36:56.976,-0.152,0.274,-0.274
2021-11-09T17:36:56.998,-0.244,0.366,-0.305
2021-11-09T17:36:57.020,-0.366,0.457,-0.305
2021-11-09T17:36:57.032,-0.366,0.274,-0.244
2021-11-09T17:36:57.053,-0.183,0.213,-0.213
2021-11-09T17:36:57.076,-0.213,0.366,-0.152
2021-11-09T17:36:57.099,-0.183,0.274,-0.244
2021-11-09T17:36:57.122,-0.274,0.152,-0.244
2021-11-09T17:36:57.133,-0.396,0.183,-0.213
2021-11-09T17:36:57.155,-0.671,0.091,-0.244
2021-11-09T17:36:57.178,-0.762,0.091,-0.305
2021-11-09T17:36:57.201,-0.823,0.122,-0.366
2021-11-09T17:36:57.212,-0.945,0.091,-0.366
2021-11-09T17:36:57.234,-1.006,0.091,-0.335
2021-11-09T17:36:57.257,-0.976,0.030,-0.366
2021-11-09T17:36:57.281,-0.884,0.061,-0.335
2021-11-09T17:36:57.291,-0.823,0.030,-0.305
2021-11-09T17:36:57.313,-0.762,0.000,-0.305
2021-11-09T17:36:57.335,-0.640,-0.061,-0.366
2021-11-09T17:36:57.358,-0.701,-0.030,-0.335
2021-11-09T17:36:57.370,-0.854,-0.061,-0.305
2021-11-09T17:36:57.413,-1.128,-0.183,-0.274
2021-11-09T17:36:57.414,-1.311,-0.244,-0.213
2021-11-09T17:36:57.436,-1.220,-0.274,-0.244
2021-11-09T17:36:57.469,-1.189,-0.305,-0.244
2021-11-09T17:36:57.471,-1.037,-0.213,-0.213
2021-11-09T17:36:57.493,-0.427,-0.152,-0.244
2021-11-09T17:36:57.516,0.030,-0.152,-0.213
2021-11-09T17:36:57.538,0.213,-0.061,-0.274
2021-11-09T17:36:57.549,0.274,0.061,-0.152
2021-11-09T17:36:57.572,0.213,0.122,-0.091
2021-11-09T17:36:57.617,-0.091,0.213,-0.061
2021-11-09T17:36:57.618,-0.366,0.244,-0.030
2021-11-09T17:36:57.628,-0.671,0.244,-0.091
2021-11-09T17:36:57.650,-0.732,0.213,-0.122
