time,x-accel,y-accel,z-accel
1627484996081,0.44726562,-0.17590332,0.8585205
1627484996083,0.44665527,-0.17956543,0.86572266
1627484996084,0.44665527,-0.17858887,0.8625488
1627484996111,0.44763184,-0.17626953,0.8634033
1627484996113,0.44812012,-0.17419434,0.8643799
1627484996141,0.44799805,-0.1809082,0.8664551
1627484996143,0.44934082,-0.17980957,0.8634033
1627484996171,0.44702148,-0.17810059,0.8625488
1627484996201,0.44384766,-0.17553711,0.8643799
1627484996202,0.44091797,-0.17687988,0.86376953
1627484996261,0.44470215,-0.17944336,0.86376953
1627484996263,0.4501953,-0.17858887,0.8664551
1627484996264,0.45007324,-0.17565918,0.8664551
1627484996291,0.4468994,-0.17614746,0.86450195
1627484996321,0.4494629,-0.17895508,0.86572266
1627484996322,0.44799805,-0.17456055,0.8654785
1627484996351,0.45141602,-0.16772461,0.87060547
1627484996381,0.45715332,-0.18371582,0.86376953
1627484996383,0.45507812,-0.1784668,0.8675537
1627484996441,0.46191406,-0.17492676,0.8699951
1627484996443,0.4547119,-0.18225098,0.8623047
1627484996444,0.44335938,-0.18481445,0.8601074
1627484996471,0.44226074,-0.18615723,0.8586426
1627484996501,0.44470215,-0.18518066,0.85913086
1627484996502,0.44787598,-0.18041992,0.86120605
1627484996531,0.44458008,-0.18432617,0.8619385
1627484996561,0.44958496,-0.18457031,0.86413574
1627484996562,0.44128418,-0.18762207,0.8594971
1627484996591,0.44555664,-0.18273926,0.8640137
1627484996621,0.44934082,-0.18261719,0.86413574
1627484996622,0.45202637,-0.17883301,0.8673096
1627484996651,0.44909668,-0.18066406,0.864624
1627484996681,0.44152832,-0.18334961,0.86157227
1627484996683,0.44665527,-0.1829834,0.8625488
1627484996711,0.45031738,-0.17407227,0.8666992
1627484996740,0.4453125,-0.17614746,0.8618164
1627484996741,0.4387207,-0.18322754,0.85791016
1627484996770,0.44543457,-0.17883301,0.86499023
1627484996801,0.45703125,-0.16894531,0.87316895
1627484996803,0.4527588,-0.171875,0.8670654
1627484996831,0.45043945,-0.17614746,0.86450195
1627484996861,0.4498291,-0.1772461,0.8679199
1627484996863,0.45056152,-0.17224121,0.86987305
1627484996891,0.4449463,-0.1706543,0.86608887
1627484996921,0.44299316,-0.17541504,0.86328125
1627484996950,0.4453125,-0.17675781,0.8640137
1627484996952,0.44750977,-0.17590332,0.866333
1627484996954,0.4515381,-0.17492676,0.8691406
1627484996981,0.45300293,-0.17163086,0.8675537
1627484997011,0.44934082,-0.17333984,0.86572266
1627484997013,0.44592285,-0.17822266,0.8634033
1627484997041,0.4515381,-0.17358398,0.8656006
1627484997071,0.45263672,-0.17211914,0.86779785
1627484997073,0.44836426,-0.17541504,0.86816406
1627484997101,0.4494629,-0.17590332,0.86657715
1627484997131,0.4489746,-0.17529297,0.86486816
1627484997132,0.45007324,-0.1739502,0.864624
1627484997161,0.44934082,-0.17041016,0.8656006
1627484997191,0.44799805,-0.17297363,0.8668213
1627484997193,0.44885254,-0.17236328,0.8666992
1627484997221,0.44677734,-0.1743164,0.86657715
1627484997251,0.44763184,-0.17822266,0.8664551
1627484997252,0.4494629,-0.17590332,0.8666992
1627484997281,0.4486084,-0.1751709,0.8654785
1627484997311,0.44604492,-0.17407227,0.8642578
1627484997312,0.44812012,-0.17321777,0.8658447
1627484997341,0.44885254,-0.17297363,0.8668213
1627484997371,0.4501953,-0.17407227,0.8676758
1627484997373,0.44958496,-0.17382812,0.86572266
1627484997401,0.4477539,-0.17419434,0.86828613
1627484997431,0.44799805,-0.17199707,0.8687744
1627484997432,0.44934082,-0.17150879,0.8691406
1627484997461,0.45178223,-0.17077637,0.8685303
1627484997491,0.45117188,-0.17236328,0.86816406
1627484997493,0.4465332,-0.17541504,0.8673096
1627484997521,0.44262695,-0.1743164,0.8668213
1627484997551,0.44250488,-0.17370605,0.8675537
1627484997553,0.44580078,-0.17382812,0.86816406
1627484997581,0.44384766,-0.17358398,0.8668213
1627484997611,0.44506836,-0.1751709,0.86779785
1627484997613,0.44360352,-0.17138672,0.86572266
1627484997641,0.44482422,-0.17565918,0.8642578
1627484997671,0.4468994,-0.17883301,0.8652344
1627484997673,0.44580078,-0.17810059,0.8666992
1627484997701,0.44360352,-0.18041992,0.86535645
1627484997731,0.44335938,-0.17468262,0.86621094
1627484997732,0.45385742,-0.17126465,0.8692627
1627484997761,0.453125,-0.1796875,0.8692627
1627484997791,0.45874023,-0.17321777,0.87683105
1627484997792,0.46203613,-0.17504883,0.8724365
1627484997821,0.44726562,-0.1850586,0.8598633
1627484997850,0.44067383,-0.18725586,0.8590088
1627484997852,0.43811035,-0.18762207,0.85876465
1627484997882,0.43933105,-0.18762207,0.8572998
1627484997911,0.4468994,-0.18188477,0.8651123
1627484997913,0.44458008,-0.17773438,0.86621094
1627484997941,0.4440918,-0.18273926,0.86328125
1627484997942,0.44714355,-0.18334961,0.8664551
1627484997971,0.45056152,-0.17834473,0.86779785
1627484998001,0.44555664,-0.17932129,0.8659668
1627484998003,0.44543457,-0.17858887,0.864624
1627484998031,0.44433594,-0.18188477,0.86120605
1627484998061,0.44396973,-0.17614746,0.86450195
1627484998062,0.44726562,-0.17822266,0.8666992
1627484998091,0.45544434,-0.17614746,0.86901855
1627484998121,0.45336914,-0.17773438,0.87072754
1627484998122,0.44812012,-0.18066406,0.8671875
1627484998151,0.44787598,-0.17663574,0.86901855
1627484998180,0.44677734,-0.1743164,0.8684082
1627484998182,0.44262695,-0.17651367,0.86499023
1627484998211,0.44628906,-0.17626953,0.8696289
1627484998241,0.44714355,-0.17590332,0.8699951
1627484998243,0.4465332,-0.17260742,0.86938477
1627484998271,0.43945312,-0.17578125,0.8651123
1627484998301,0.44030762,-0.18151855,0.8634033
1627484998302,0.4482422,-0.17871094,0.86743164
1627484998331,0.44958496,-0.17553711,0.86743164
1627484998361,0.4477539,-0.17321777,0.86743164
1627484998363,0.44470215,-0.17468262,0.8670654
1627484998391,0.44921875,-0.17419434,0.8712158
1627484998421,0.4494629,-0.17565918,0.8676758
1627484998423,0.45031738,-0.1743164,0.8668213
1627484998451,0.44604492,-0.1751709,0.8658447
1627484998481,0.4428711,-0.1809082,0.86413574
1627484998482,0.44458008,-0.17272949,0.8670654
1627484998511,0.44714355,-0.1697998,0.87023926
1627484998541,0.45007324,-0.18005371,0.86743164
1627484998542,0.44848633,-0.17736816,0.86486816
1627484998571,0.4453125,-0.17785645,0.8651123
1627484998601,0.44360352,-0.17712402,0.86499023
1627484998602,0.44848633,-0.17504883,0.86657715
1627484998631,0.44836426,-0.17468262,0.86608887
1627484998661,0.44641113,-0.17614746,0.8670654
1627484998663,0.44628906,-0.17492676,0.86901855
1627484998691,0.4449463,-0.17529297,0.8671875
1627484998721,0.44958496,-0.17736816,0.86743164
1627484998722,0.4482422,-0.17895508,0.86608887
1627484998751,0.4498291,-0.17553711,0.8691406
1627484998781,0.44702148,-0.17419434,0.8651123
1627484998783,0.44750977,-0.17626953,0.86621094
1627484998811,0.44714355,-0.17883301,0.8668213
1627484998841,0.44763184,-0.17553711,0.86694336
1627484998871,0.44909668,-0.17480469,0.8691406
1627484998873,0.4468994,-0.17687988,0.8664551
1627484998875,0.44580078,-0.1772461,0.86450195
1627484998901,0.4468994,-0.17663574,0.8652344
1627484998931,0.44787598,-0.17773438,0.8668213
1627484998932,0.44799805,-0.17626953,0.8691406
1627484998962,0.44604492,-0.17529297,0.86779785
1627484998991,0.44909668,-0.17700195,0.8666992
1627484998992,0.44592285,-0.17932129,0.8666992
1627484999021,0.4465332,-0.17785645,0.8688965
1627484999051,0.4465332,-0.17614746,0.8651123
1627484999052,0.44665527,-0.17687988,0.8664551
1627484999081,0.44506836,-0.17590332,0.8664551
1627484999141,0.44543457,-0.17626953,0.8679199
1627484999143,0.44714355,-0.17651367,0.86779785
1627484999144,0.44714355,-0.17749023,0.8688965
1627484999170,0.44677734,-0.17895508,0.86743164
1627484999172,0.4420166,-0.17773438,0.8656006
1627484999200,0.4440918,-0.17602539,0.8656006
1627484999231,0.4453125,-0.17687988,0.86535645
1627484999231,0.4453125,-0.17578125,0.8670654
1627484999262,0.4468994,-0.17687988,0.8675537
1627484999292,0.44470215,-0.17956543,0.86950684
1627484999292,0.44482422,-0.17907715,0.86779785
1627484999321,0.4453125,-0.17785645,0.8666992
1627484999351,0.4453125,-0.17578125,0.86865234
1627484999353,0.4440918,-0.17919922,0.86779785
1627484999381,0.44360352,-0.17871094,0.8687744
1627484999411,0.44543457,-0.1776123,0.8676758
1627484999413,0.4465332,-0.1772461,0.86694336
1627484999441,0.44787598,-0.17626953,0.86938477
1627484999471,0.44628906,-0.17663574,0.8679199
1627484999473,0.4437256,-0.18041992,0.8651123
1627484999500,0.44348145,-0.17993164,0.8652344
1627484999531,0.44482422,-0.17785645,0.8666992
1627484999532,0.4449463,-0.17578125,0.8685303
1627484999561,0.44885254,-0.1763916,0.86865234
1627484999621,0.44628906,-0.17834473,0.8651123
1627484999624,0.44543457,-0.18029785,0.8631592
1627484999625,0.4473877,-0.18029785,0.86486816
1627484999651,0.44628906,-0.17858887,0.8664551
1627484999652,0.44421387,-0.17712402,0.86816406
1627484999681,0.446167,-0.17651367,0.8673096
1627484999712,0.4465332,-0.17663574,0.8659668
1627484999712,0.44921875,-0.17956543,0.86621094
1627484999741,0.4473877,-0.17895508,0.86572266
1627484999771,0.44543457,-0.17944336,0.8642578
1627484999773,0.4468994,-0.17700195,0.8651123
1627484999831,0.4465332,-0.17553711,0.86608887
1627484999833,0.44555664,-0.17871094,0.86535645
1627484999834,0.44628906,-0.1796875,0.86621094
1627484999861,0.4486084,-0.1776123,0.8691406
1627484999863,0.44750977,-0.17834473,0.86743164
1627484999891,0.44750977,-0.17883301,0.868042
1627484999921,0.44396973,-0.17736816,0.864624
1627484999922,0.4428711,-0.1772461,0.8654785
1627484999951,0.44555664,-0.17626953,0.8676758
1627484999981,0.44799805,-0.17785645,0.86743164
1627484999983,0.44799805,-0.17907715,0.8666992
1627485000011,0.44580078,-0.17919922,0.8679199
1627485000041,0.44506836,-0.17956543,0.868042
1627485000041,0.444458,-0.17736816,0.8685303
1627485000071,0.44506836,-0.17773438,0.86865234
1627485000101,0.44421387,-0.1743164,0.866333
1627485000103,0.4437256,-0.1776123,0.8658447
1627485000131,0.44665527,-0.17956543,0.86657715
1627485000162,0.44604492,-0.1784668,0.86743164
1627485000163,0.44909668,-0.17907715,0.86901855
1627485000191,0.4456787,-0.18054199,0.866333
1627485000221,0.44213867,-0.18005371,0.86376953
1627485000222,0.44091797,-0.17871094,0.8647461
1627485000251,0.4465332,-0.1772461,0.86694336
1627485000281,0.44995117,-0.17773438,0.8671875
1627485000283,0.4489746,-0.17626953,0.8664551
1627485000311,0.44763184,-0.17871094,0.86694336
1627485000341,0.4506836,-0.17626953,0.8664551
1627485000342,0.45080566,-0.1776123,0.866333
1627485000371,0.45092773,-0.17919922,0.86450195
1627485000401,0.44873047,-0.18078613,0.86486816
1627485000402,0.44348145,-0.17993164,0.8651123
1627485000431,0.44714355,-0.17749023,0.86486816
1627485000461,0.4501953,-0.1784668,0.8673096
1627485000463,0.44909668,-0.17712402,0.8670654
1627485000491,0.4473877,-0.17858887,0.86657715
1627485000521,0.44665527,-0.17993164,0.86376953
1627485000522,0.44763184,-0.18029785,0.86328125
1627485000551,0.44812012,-0.1776123,0.8643799
1627485000581,0.44970703,-0.17626953,0.8675537
1627485000583,0.45007324,-0.1772461,0.8666992
1627485000611,0.44934082,-0.17895508,0.8652344
1627485000641,0.4486084,-0.17871094,0.8658447
1627485000643,0.44812012,-0.18054199,0.8659668
1627485000671,0.4468994,-0.17907715,0.86413574
1627485000701,0.44848633,-0.17895508,0.8673096
1627485000703,0.4473877,-0.17736816,0.86694336
1627485000731,0.4477539,-0.17822266,0.86486816
1627485000762,0.4473877,-0.17883301,0.8647461
1627485000763,0.44885254,-0.17565918,0.8658447
1627485000791,0.4477539,-0.17895508,0.86816406
1627485000821,0.44836426,-0.17932129,0.8676758
1627485000823,0.44628906,-0.18139648,0.86621094
1627485000851,0.44421387,-0.17785645,0.8652344
1627485000853,0.44384766,-0.17956543,0.8643799
1627485000881,0.44726562,-0.17919922,0.86694336
1627485000911,0.44763184,-0.17907715,0.8675537
1627485000913,0.44458008,-0.17797852,0.8671875
1627485000941,0.44262695,-0.17883301,0.86621094
1627485000971,0.44555664,-0.1796875,0.8684082
1627485000973,0.44470215,-0.1796875,0.8688965
1627485001001,0.44604492,-0.18054199,0.8656006
1627485001031,0.4449463,-0.18139648,0.8626709
1627485001033,0.44299316,-0.1829834,0.86328125
1627485001061,0.44519043,-0.17919922,0.868042
1627485001091,0.4489746,-0.17626953,0.8688965
1627485001092,0.44702148,-0.17944336,0.869751
1627485001121,0.44580078,-0.17883301,0.86657715
1627485001151,0.44641113,-0.18066406,0.8654785
1627485001153,0.44580078,-0.18017578,0.8666992
1627485001182,0.44433594,-0.17858887,0.8651123
1627485001211,0.4440918,-0.1784668,0.86816406
1627485001213,0.44580078,-0.17883301,0.8666992
1627485001241,0.44482422,-0.17993164,0.86694336
1627485001271,0.44555664,-0.17993164,0.8671875
1627485001273,0.4477539,-0.17785645,0.86865234
1627485001301,0.44543457,-0.17797852,0.8685303
1627485001331,0.44543457,-0.18041992,0.86608887
1627485001333,0.4465332,-0.18041992,0.86572266
1627485001361,0.44555664,-0.17810059,0.8675537
1627485001391,0.44604492,-0.17883301,0.86694336
1627485001393,0.44543457,-0.1784668,0.8670654
1627485001421,0.4468994,-0.17895508,0.868042
1627485001451,0.4440918,-0.17932129,0.86621094
1627485001452,0.44555664,-0.17871094,0.86657715
1627485001481,0.44848633,-0.17919922,0.8685303
1627485001511,0.4456787,-0.17822266,0.8696289
1627485001513,0.4477539,-0.17895508,0.8687744
1627485001541,0.44580078,-0.17822266,0.8671875
1627485001572,0.44555664,-0.17919922,0.8652344
1627485001573,0.4494629,-0.17675781,0.8666992
1627485001601,0.4489746,-0.17810059,0.866333
1627485001632,0.44995117,-0.18249512,0.8651123
1627485001632,0.44836426,-0.18481445,0.8630371
1627485001661,0.4489746,-0.17907715,0.8651123
1627485001691,0.45031738,-0.17736816,0.86499023
1627485001692,0.45080566,-0.18164062,0.86499023
1627485001721,0.45080566,-0.17871094,0.86328125
1627485001750,0.4482422,-0.18029785,0.86206055
1627485001752,0.4489746,-0.17932129,0.8619385
1627485001781,0.44921875,-0.17993164,0.86279297
1627485001781,0.44848633,-0.1817627,0.8631592
1627485001811,0.44958496,-0.18103027,0.86206055
1627485001842,0.44909668,-0.18200684,0.86486816
1627485001842,0.44873047,-0.18115234,0.866333
1627485001871,0.4465332,-0.18151855,0.86328125
1627485001901,0.44519043,-0.1809082,0.8623047
1627485001902,0.45080566,-0.17492676,0.8684082
1627485001931,0.4498291,-0.17944336,0.8666992
1627485001961,0.4468994,-0.18188477,0.8607178
1627485001964,0.4473877,-0.17993164,0.86413574
1627485001991,0.44665527,-0.17797852,0.8659668
1627485002021,0.4465332,-0.17834473,0.86535645
1627485002022,0.44335938,-0.17834473,0.8621826
1627485002051,0.43493652,-0.18554688,0.85827637
1627485002082,0.44763184,-0.1776123,0.86572266
1627485002084,0.45336914,-0.17834473,0.86499023
1627485002111,0.44848633,-0.18566895,0.86279297
1627485002141,0.44873047,-0.18444824,0.8614502
1627485002143,0.44970703,-0.18469238,0.86242676
1627485002172,0.45007324,-0.19702148,0.86242676
1627485002201,0.44921875,-0.20324707,0.8668213
1627485002203,0.44873047,-0.1986084,0.87060547
1627485002231,0.44543457,-0.19616699,0.8671875
1627485002262,0.446167,-0.20019531,0.86572266
1627485002263,0.4473877,-0.2010498,0.8668213
1627485002291,0.44433594,-0.19555664,0.8659668
1627485002321,0.44091797,-0.20397949,0.86328125
1627485002322,0.44226074,-0.21228027,0.8607178
1627485002351,0.45007324,-0.20361328,0.8602295
1627485002381,0.4477539,-0.20141602,0.85913086
