time,x-accel,y-accel,z-accel
1627601961894,0.47351074,0.14025879,0.87719727
1627601961895,0.47875977,0.14221191,0.8847656
1627601961924,0.4724121,0.14099121,0.87854004
1627601961954,0.4699707,0.14111328,0.8774414
1627601961955,0.47131348,0.14172363,0.87854004
1627601961984,0.46972656,0.1418457,0.8757324
1627601962015,0.46826172,0.14318848,0.8751221
1627601962015,0.4650879,0.1472168,0.8746338
1627601962044,0.4675293,0.14807129,0.8778076
1627601962074,0.46862793,0.14685059,0.8812256
1627601962075,0.4691162,0.1451416,0.8808594
1627601962104,0.4696045,0.14660645,0.8803711
1627601962134,0.46496582,0.14819336,0.87768555
1627601962135,0.46313477,0.1508789,0.87731934
1627601962164,0.45996094,0.15112305,0.87609863
1627601962194,0.45874023,0.15185547,0.87719727
1627601962195,0.45751953,0.15356445,0.87731934
1627601962224,0.45861816,0.15307617,0.8774414
1627601962254,0.4597168,0.15283203,0.87683105
1627601962255,0.46154785,0.15319824,0.8796387
1627601962284,0.46289062,0.1541748,0.8786621
1627601962314,0.46142578,0.15222168,0.8782959
1627601962315,0.46166992,0.15197754,0.87731934
1627601962344,0.4597168,0.15319824,0.87768555
1627601962374,0.45825195,0.15332031,0.87854004
1627601962375,0.4605713,0.15136719,0.8770752
1627601962404,0.46313477,0.15124512,0.8781738
1627601962434,0.46801758,0.14916992,0.8795166
1627601962435,0.46765137,0.14831543,0.8796387
1627601962464,0.4703369,0.14868164,0.881958
1627601962524,0.46936035,0.15063477,0.88049316
1627601962525,0.46606445,0.1484375,0.880249
1627601962526,0.46569824,0.14916992,0.87854004
1627601962527,0.46362305,0.15026855,0.87841797
1627601962554,0.46484375,0.14904785,0.87609863
1627601962584,0.4663086,0.15002441,0.8763428
1627601962585,0.4642334,0.15112305,0.87597656
1627601962614,0.46679688,0.1505127,0.8775635
1627601962644,0.46923828,0.14868164,0.8798828
1627601962644,0.46936035,0.14794922,0.8775635
1627601962674,0.4696045,0.14807129,0.87841797
1627601962704,0.4696045,0.14916992,0.87768555
1627601962705,0.46765137,0.1496582,0.87719727
1627601962734,0.46728516,0.14916992,0.8782959
1627601962764,0.46777344,0.1496582,0.87768555
1627601962765,0.4678955,0.14868164,0.87768555
1627601962794,0.46813965,0.14904785,0.8774414
1627601962824,0.46850586,0.14916992,0.8769531
1627601962824,0.4691162,0.14880371,0.8790283
1627601962864,0.4671631,0.14868164,0.8774414
1627601962884,0.46777344,0.14880371,0.87719727
1627601962885,0.46533203,0.14782715,0.8779297
