time,x-gyro,y-gyro,z-gyro
1616098250519,10.945122,-11.935976,-18.90244
1616098250549,12.378049,-10.503049,-19.695122
1616098250580,21.768293,-3.8109758,-19.375
1616098250582,12.012196,-6.631098,-12.637196
1616098250611,2.378049,-8.917684,-7.545732
1616098250641,1.8140244,-6.128049,-5.670732
1616098250641,3.4146342,-4.878049,-5.777439
1616098250672,3.7347562,-4.664634,-4.9695125
1616098250700,2.9268293,-4.5884147,-3.9634147
1616098250701,4.679878,-3.9939024,-4.7865853
1616098250729,5.7164636,-3.7804878,-5.015244
1616098250761,5.167683,-2.5762196,-4.283537
1616098250761,4.984756,-1.6615855,-4.64939
1616098250790,5.914634,-1.2042683,-5.5640244
1616098250820,7.4542685,-1.3414634,-6.4786587
1616098250821,9.070122,-2.378049,-7.4695125
1616098250852,9.176829,-3.902439,-8.460366
1616098250881,10.853659,-5.030488,-9.039635
1616098250883,12.240854,-4.9695125,-7.6219516
1616098250911,13.033537,-2.9725611,-7.179878
1616098250941,16.631098,-1.097561,-7.698171
1616098250942,18.231709,-1.5396342,-8.993902
1616098250972,15.716464,-6.006098,-10.97561
1616098251001,2.652439,-16.387196,-16.32622
1616098251003,1.3719512,-35.73171,-22.92683
1616098251031,0.45731708,-69.02439,-33.018295
1616098251061,-2.8506098,-117.17988,-46.32622
1616098251063,-7.1189027,-195.5183,-76.40244
1616098251092,-7.652439,-315.18292,-132.13416
1616098251123,28.993902,-471.72256,-227.17989
1616098251123,76.69208,-499.49695,-281.7683
1616098251151,16.539635,-344.86282,-245.07622
1616098251181,25.70122,-164.49695,-183.5061
1616098251181,103.414635,-98.39939,-132.11891
1616098251210,37.19512,63.93293,-57.911587
1616098251239,24.29878,181.89024,3.4756098
1616098251241,54.69512,132.82013,-7.2865853
1616098251272,3.9176831,144.42073,47.271343
1616098251301,-34.740856,193.73476,114.69512
1616098251301,-34.64939,210.71646,140.91464
1616098251331,-54.298782,220.18294,154.28354
1616098251363,-91.12805,241.31097,166.61586
1616098251363,-124.25305,272.7134,175.03049
1616098251503,-148.76524,301.44818,177.80489
1616098251503,-162.6067,313.68903,182.30183
1616098251503,-153.94818,299.64938,209.25305
1616098251504,-132.82013,249.05489,238.61281
1616098251504,-99.81708,177.2561,225.04573
1616098251504,-71.41769,99.48171,156.7683
1616098251512,-56.72256,41.615856,62.012196
1616098251553,-67.57622,-4.1920733,-16.05183
1616098251553,30.77744,-54.146343,-86.3872
1616098251678,292.86588,-180.01524,-131.73781
1616098251678,36.509148,-221.875,-49.085365
1616098251679,3.1707318,-176.18903,-105.701225
1616098251679,101.951225,17.42378,-68.76524
1616098251679,20.762196,-22.057928,-21.935976
1616098251679,18.338415,6.0823174,-19.542683
1616098251691,21.570122,13.47561,-17.088415
1616098251720,4.7865853,2.8658538,-10.823171
1616098251750,0.076219514,2.362805,-5.27439
1616098251751,0.77743906,3.5365853,-3.2469513
1616098251781,2.8658538,3.2164636,-2.362805
1616098251811,2.698171,-1.4634147,-0.4878049
1616098251811,-0.5335366,-6.890244,-0.25914633
1616098251842,-0.6707317,-9.115854,0.7012195
1616098251871,4.1920733,-9.573171,1.875
1616098251872,9.146341,-9.085366,1.6463414
1616098251901,14.054878,-5.609756,-0.27439025
1616098251961,17.332317,-2.8810976,-2.179878
1616098251962,20.54878,-1.097561,-3.7804878
1616098251962,21.966463,-0.7621951,-5.0
1616098251963,23.018293,-1.0823171,-5.8689027
1616098251991,24.771341,1.3719512,-6.0823174
1616098252021,24.92378,2.8506098,-7.0884147
1616098252051,21.585367,0.86890244,-9.375
1616098252053,7.3323174,-6.8597565,-13.384147
1616098252082,-18.20122,-21.463415,-22.393293
1616098252111,-49.710365,-38.262196,-38.582317
1616098252111,-47.80488,-62.621952,-58.00305
1616098252140,-27.667683,-117.393295,-77.94208
1616098252171,-21.067074,-220.71646,-107.5
1616098252171,-11.417684,-382.30185,-169.4817
1616098252201,24.908537,-486.57013,-316.37195
1616098252231,196.96646,-394.80185,-387.69818
1616098252231,325.80792,-211.7683,-366.05185
1616098252261,404.63416,-135.53354,-236.75305
1616098252291,251.43294,16.875,11.417684
1616098252291,57.19512,124.64939,134.71037
1616098252322,109.14635,59.344513,79.52744
1616098252351,83.52135,114.451225,103.18598
1616098252352,15.6707325,191.81403,154.22256
1616098252380,-20.243902,211.28049,171.4177
1616098252410,-64.664635,225.24391,198.73476
1616098252411,-95.92988,241.46342,222.3933
1616098252440,-97.37805,253.6433,221.61586
1616098252469,-106.326225,274.2988,218.85672
1616098252473,-121.6311,295.3811,218.78049
1616098252502,-135.19818,290.25916,217.53049
1616098252561,-145.68597,268.94818,206.43294
1616098252561,-151.44818,224.90854,162.56097
1616098252589,-143.78049,181.34146,112.98781
1616098252590,-114.67988,140.7317,65.01524
1616098252592,-104.039635,53.20122,17.271341
1616098252620,-62.484756,-23.780489,-10.137196
1616098252650,94.7561,-95.92988,-63.963417
1616098252651,310.06097,-146.43294,-151.79878
1616098252680,219.46646,-118.18598,-188.55183
1616098252711,178.6433,-245.56403,-174.32927
1616098252711,82.04269,-31.737806,-64.801834
1616098252739,-0.28963414,-8.216464,-31.280489
1616098252769,12.408537,-11.112805,-13.82622
1616098252770,25.670732,6.402439,-10.365854
1616098252800,8.307927,-1.1280488,-8.734756
1616098252829,3.0792685,-2.820122,-6.4939027
1616098252831,0.13719513,-4.72561,-2.987805
1616098252861,-1.9969512,-6.554878,-0.04573171
1616098252890,-3.1097562,-8.109756,1.4329269
1616098252891,-6.2042685,-10.182927,2.042683
1616098252921,-6.158537,-11.051829,2.515244
1616098252950,-3.9786587,-10.655488,2.9268293
1616098252951,-1.9512196,-9.207317,1.097561
1616098252979,-0.9603659,-7.682927,-2.332317
1616098253011,2.515244,-6.3262196,-3.582317
1616098253011,4.009146,-6.615854,-6.4481707
1616098253040,7.362805,-6.6615853,-9.588415
1616098253070,9.115854,-6.9969516,-9.3902445
1616098253071,8.719512,-7.2865853,-7.881098
1616098253100,9.756098,-8.445122,-8.39939
1616098253129,10.777439,-11.966464,-9.771341
1616098253131,9.817074,-20.838415,-11.189025
1616098253160,4.009146,-36.920734,-16.265244
1616098253190,-2.378049,-64.29878,-30.137196
1616098253191,-11.631098,-106.50915,-51.47866
1616098253220,-22.92683,-194.16159,-88.10976
1616098253249,-43.932926,-350.9299,-162.21037
1616098253252,24.45122,-499.49695,-292.86588
1616098253309,127.59147,-486.98172,-332.16464
1616098253311,-1.9054879,-289.66464,-262.68292
1616098253311,96.82927,-186.82927,-245.36586
1616098253340,216.84451,-77.28659,-113.643295
1616098253369,106.3872,189.1311,97.13415
1616098253370,93.125,169.40549,91.875
1616098253400,49.588417,115.35061,67.22561
1616098253429,-22.896341,196.26524,133.18597
1616098253430,-23.07927,253.23172,166.7683
1616098253491,-47.484756,266.25,176.44818
1616098253491,-100.73171,277.05792,187.42378
1616098253492,-128.27744,290.42685,189.1311
1616098253520,-151.06708,301.99695,185.47256
1616098253549,-174.10062,312.24088,186.53964
1616098253551,-183.24695,320.89938,202.2561
1616098253580,-185.06097,308.23172,211.99696
1616098253609,-195.18294,234.55794,177.1494
1616098253611,-158.87195,153.76524,114.78659
1616098253640,-99.268295,119.25305,52.865856
1616098253670,-92.69817,24.756098,-8.887196
1616098253671,-75.70122,-62.65244,-53.094513
1616098253700,173.97867,-113.94817,-105.57927
1616098253729,375.8384,-115.35061,-172.43903
1616098253731,179.16159,-127.91159,-212.46951
1616098253760,139.83232,-57.225613,-94.55793
1616098253789,33.246952,-22.317074,-29.054878
1616098253790,1.2804878,-49.435978,-30.121952
1616098253820,20.97561,-7.240854,-22.65244
1616098253851,9.176829,-11.204268,-17.713415
1616098253852,-1.417683,-18.20122,-16.524391
1616098253880,-3.445122,-17.088415,-12.5152445
1616098253910,-6.8140244,-14.557927,-8.079268
1616098253939,-6.9817076,-14.161586,-8.079268
1616098253941,-8.7652445,-14.527439,-4.72561
1616098253969,-9.131098,-14.893293,-3.0640244
1616098253999,-8.384147,-15.97561,-3.2469513
1616098254001,-6.021342,-18.841463,-3.4298782
1616098254030,-4.268293,-23.82622,-4.9542685
1616098254060,-4.8170733,-28.262196,-7.667683
1616098254061,-2.5762196,-29.375,-12.027439
1616098254090,1.2347561,-24.435976,-15.777439
1616098254120,3.0487804,-17.256098,-18.567074
1616098254121,6.0518293,-10.97561,-21.631098
1616098254181,6.0823174,-5.89939,-24.695122
1616098254182,8.67378,0.28963414,-26.661587
1616098254183,11.722561,2.667683,-26.112806
1616098254210,6.2042685,-0.79268295,-26.295732
1616098254239,0.19817074,-11.753049,-30.320122
1616098254240,-3.1707318,-29.756098,-39.28354
1616098254270,-2.3475611,-59.64939,-47.82012
1616098254301,-16.356709,-111.29573,-63.368904
1616098254301,-37.911587,-201.50916,-108.414635
1616098254330,-55.3811,-330.15244,-193.14024
1616098254360,11.60061,-464.9695,-328.06403
1616098254361,16.112804,-499.49695,-401.31097
1616098254419,45.838417,-365.88416,-383.97867
1616098254479,79.34451,-172.11891,-280.97562
1616098254480,136.21951,-112.59147,-142.54573
1616098254484,69.83232,125.32012,60.015244
1616098254484,126.6311,175.32013,125.59451
1616098254484,139.39024,85.472565,94.435974
1616098254510,42.439026,121.12805,137.82013
1616098254600,0.71646345,200.0,176.12805
1616098254601,3.628049,235.28964,173.99391
1616098254603,-29.92378,255.59451,169.03964
1616098254603,-63.536587,282.33234,166.66159
1616098254604,-80.1372,309.74088,171.50916
1616098254630,-108.76524,326.85977,182.28659
1616098254689,-146.75305,325.32013,180.06097
1616098254692,-187.5,318.70428,165.74695
1616098254692,-218.70427,291.99695,141.85976
1616098254720,-222.80489,216.66159,114.52744
1616098254720,-190.42683,137.46951,94.64939
1616098254750,-118.993904,97.2561,60.167683
1616098254780,-36.463417,32.80488,0.71646345
1616098254781,9.832317,-35.518295,-45.655487
1616098254810,68.75,-75.44208,-99.10061
1616098254840,244.90854,-150.96037,-189.67989
1616098254841,160.64024,-233.14024,-221.53964
1616098254869,212.30183,-181.53964,-216.28049
1616098254931,98.871956,6.6768293,-44.496952
1616098254931,-15.091464,4.085366,1.6310976
1616098254931,22.271341,2.7134147,-14.64939
1616098254960,15.6707325,-13.719513,-14.054878
1616098254960,6.539634,-14.176829,-9.405488
1616098254989,5.5945125,-11.646341,-6.753049
1616098255019,1.0823171,-11.692074,-4.5884147
1616098255020,2.9420733,-9.207317,-3.125
1616098255050,5.5792685,-10.091464,-1.2195122
1616098255080,4.390244,-9.92378,-0.44207317
1616098255080,3.0335367,-8.612805,-0.30487806
1616098255110,3.3536587,-7.7439027,-0.51829267
1616098255141,4.390244,-6.3567076,-1.5396342
1616098255141,6.0518293,-4.131098,-2.3932927
1616098255170,6.9817076,-2.042683,-2.835366
1616098255200,6.615854,-2.317073,-3.8109758
1616098255201,8.795732,-1.417683,-5.2134147
1616098255230,12.77439,-1.4939024,-7.179878
1616098255260,13.414635,-5.0914636,-8.704268
1616098255263,11.768293,-10.990854,-10.853659
1616098255292,12.911586,-15.6402445,-13.658537
1616098255321,15.625,-22.317074,-20.381098
1616098255323,10.564025,-44.832317,-31.814026
1616098255352,-1.0823171,-94.07012,-52.073174
1616098255382,-14.618903,-191.34146,-82.835365
1616098255382,-10.060976,-366.4177,-151.69208
1616098255608,52.40854,-499.49695,-264.80185
1616098255608,45.42683,-482.40854,-313.2622
1616098255608,62.92683,-279.45123,-289.07013
1616098255608,137.7744,-120.50305,-201.58537
1616098255608,142.6067,-47.134148,-117.56098
1616098255608,32.118904,157.71342,-5.121951
1616098255609,63.917683,154.39024,-2.2256098
1616098255609,50.03049,113.76524,12.942074
1616098255609,-24.207317,165.56403,89.78659
1616098255609,-49.893295,198.38416,143.59756
1616098255619,-61.15854,196.72256,172.98781
1616098255620,-81.79878,208.15549,202.53049
1616098255650,-91.12805,233.03354,225.2744
1616098255679,-96.814026,250.12196,236.67683
1616098255680,-109.14635,262.33234,238.36891
1616098255710,-130.06097,280.36588,229.11586
1616098255741,-154.0244,301.58536,212.24086
1616098255741,-183.27745,314.55792,184.5427
1616098255770,-215.83842,297.37805,138.75
1616098255799,-200.67073,248.75,89.69512
1616098255801,-140.15244,188.21646,34.84756
1616098255829,-82.0122,68.551834,-3.3536587
1616098255860,-11.52439,-55.259148,1.8902439
1616098255861,190.06097,-176.82927,-47.286587
1616098255890,273.52136,-172.7744,-133.61281
1616098255920,116.02135,-170.82318,-194.80183
1616098255921,145.5183,-236.3872,-265.96036
1616098255950,156.9817,-17.332317,-110.77744
1616098255979,41.996952,-13.003049,-32.77439
1616098255980,32.57622,-6.554878,-27.469513
1616098256010,34.420734,-8.490854,-24.80183
1616098256040,13.658537,-16.036585,-18.216463
1616098256041,6.4786587,-17.088415,-14.542684
1616098256069,1.4939024,-16.006098,-9.786586
1616098256100,-0.9603659,-14.054878,-7.5609756
1616098256129,1.0365853,-12.347561,-6.631098
1616098256131,2.9268293,-13.003049,-6.4634147
1616098256159,3.1707318,-12.484756,-6.112805
1616098256189,3.2164636,-10.320122,-5.990854
1616098256190,3.1707318,-8.567074,-6.9817076
1616098256221,3.6585367,-5.015244,-7.530488
1616098256250,5.625,-0.5335366,-7.3170733
1616098256252,6.8445125,4.557927,-7.1036587
1616098256280,7.7439027,7.3018293,-8.125
1616098256310,9.02439,7.9420733,-9.771341
1616098256311,11.539635,7.804878,-11.859756
1616098256340,13.20122,5.8689027,-13.064025
1616098256369,15.396342,1.0823171,-14.832317
1616098256370,18.185976,-4.878049,-19.92378
1616098256399,19.039635,-12.332317,-28.734756
1616098256430,8.109756,-26.112806,-39.90854
1616098256460,1.8140244,-52.45427,-52.72866
1616098256460,9.756098,-106.29573,-58.216465
1616098256492,4.9237804,-199.1311,-79.268295
1616098256492,-7.7439027,-326.52438,-143.29268
1616098256520,27.743902,-461.12805,-238.78049
1616098256552,21.40244,-499.49695,-291.75305
1616098256552,-32.957317,-389.0244,-238.5061
1616098256580,15.426829,-162.3933,-169.78659
1616098256609,133.97867,-54.237804,-101.143295
1616098256610,107.48476,124.87805,16.448172
1616098256641,93.38415,134.77135,43.628048
1616098256669,50.89939,87.36281,44.375
1616098256670,-10.0,148.04878,114.00915
1616098256700,-7.393293,195.5183,151.02135
1616098256729,-19.161587,212.07318,162.33232
1616098256731,-53.55183,235.2744,177.24086
1616098256760,-72.27134,265.09146,191.70732
1616098256789,-82.72866,285.09146,203.14024
1616098256790,-102.301834,290.0,206.53964
1616098256820,-132.94208,301.9055,200.54878
1616098256851,-161.05183,318.38416,197.91159
1616098256851,-179.4817,314.8933,195.19818
1616098256880,-198.10976,258.5366,166.58537
1616098256909,-203.75,176.89024,118.5061
1616098256912,-149.03964,126.6311,71.06708
1616098256940,-48.262196,28.59756,20.487804
1616098256969,156.84451,-131.44818,-21.371952
1616098256970,391.5549,-169.74086,-107.439026
1616098257000,177.7744,-118.44512,-184.2683
1616098257029,53.338417,-325.7622,-187.92683
1616098257031,17.256098,-218.78049,-129.19208
1616098257060,48.643295,-17.02744,-58.97866
1616098257091,64.176834,-3.7042685,-38.932926
1616098257091,39.740856,1.4786586,-19.29878
1616098257120,12.759147,-2.4390244,-13.871951
1616098257150,-2.820122,-7.1951222,-10.060976
1616098257151,-8.064025,-7.4695125,-7.0884147
1616098257180,-12.621951,-9.817074,-2.9420733
1616098257209,-9.237805,-9.420732,-0.94512194
1616098257210,-3.307927,-7.8353662,0.39634147
1616098257240,-0.83841467,-7.9115853,0.99085367
