epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1626103902203,2021-07-12T11.31.42.203,0.000,0.513,0.033,0.859
1626103902223,2021-07-12T11.31.42.223,0.020,0.518,0.033,0.866
1626103902244,2021-07-12T11.31.42.244,0.041,0.517,0.032,0.866
1626103902264,2021-07-12T11.31.42.264,0.061,0.517,0.031,0.864
1626103902285,2021-07-12T11.31.42.285,0.082,0.514,0.031,0.864
1626103902305,2021-07-12T11.31.42.305,0.102,0.516,0.034,0.864
1626103902324,2021-07-12T11.31.42.324,0.121,0.518,0.033,0.864
1626103902345,2021-07-12T11.31.42.345,0.142,0.517,0.032,0.863
1626103902365,2021-07-12T11.31.42.365,0.162,0.515,0.032,0.863
1626103902386,2021-07-12T11.31.42.386,0.183,0.518,0.032,0.865
1626103902406,2021-07-12T11.31.42.406,0.203,0.517,0.032,0.863
1626103902427,2021-07-12T11.31.42.427,0.224,0.514,0.033,0.863
1626103902447,2021-07-12T11.31.42.447,0.244,0.518,0.032,0.865
1626103902466,2021-07-12T11.31.42.466,0.263,0.518,0.031,0.865
1626103902487,2021-07-12T11.31.42.487,0.284,0.517,0.032,0.865
1626103902507,2021-07-12T11.31.42.507,0.304,0.517,0.032,0.865
1626103902528,2021-07-12T11.31.42.528,0.325,0.517,0.033,0.864
1626103902548,2021-07-12T11.31.42.548,0.345,0.517,0.033,0.862
1626103902569,2021-07-12T11.31.42.569,0.366,0.516,0.032,0.862
1626103902589,2021-07-12T11.31.42.589,0.386,0.516,0.032,0.865
1626103902608,2021-07-12T11.31.42.608,0.405,0.518,0.031,0.864
1626103902629,2021-07-12T11.31.42.629,0.426,0.515,0.032,0.866
1626103902649,2021-07-12T11.31.42.649,0.446,0.516,0.033,0.865
1626103902670,2021-07-12T11.31.42.670,0.467,0.517,0.031,0.865
1626103902690,2021-07-12T11.31.42.690,0.487,0.516,0.031,0.863
1626103902711,2021-07-12T11.31.42.711,0.508,0.517,0.032,0.865
1626103902731,2021-07-12T11.31.42.731,0.528,0.517,0.033,0.866
1626103902750,2021-07-12T11.31.42.750,0.547,0.517,0.034,0.865
1626103902771,2021-07-12T11.31.42.771,0.568,0.517,0.032,0.866
1626103902791,2021-07-12T11.31.42.791,0.588,0.516,0.032,0.865
1626103902812,2021-07-12T11.31.42.812,0.609,0.518,0.032,0.865
1626103902832,2021-07-12T11.31.42.832,0.629,0.518,0.032,0.863
1626103902853,2021-07-12T11.31.42.853,0.650,0.517,0.032,0.864
1626103902873,2021-07-12T11.31.42.873,0.670,0.518,0.031,0.865
1626103902894,2021-07-12T11.31.42.894,0.691,0.516,0.031,0.866
1626103902913,2021-07-12T11.31.42.913,0.710,0.517,0.031,0.865
1626103902933,2021-07-12T11.31.42.933,0.730,0.515,0.034,0.864
1626103902954,2021-07-12T11.31.42.954,0.751,0.516,0.032,0.864
1626103902974,2021-07-12T11.31.42.974,0.771,0.517,0.032,0.864
1626103902995,2021-07-12T11.31.42.995,0.792,0.519,0.033,0.865
1626103903016,2021-07-12T11.31.43.016,0.813,0.516,0.032,0.865
1626103903036,2021-07-12T11.31.43.036,0.833,0.517,0.032,0.864
1626103903055,2021-07-12T11.31.43.055,0.852,0.516,0.033,0.865
1626103903076,2021-07-12T11.31.43.076,0.873,0.517,0.031,0.866
1626103903096,2021-07-12T11.31.43.096,0.893,0.516,0.032,0.866
1626103903117,2021-07-12T11.31.43.117,0.914,0.515,0.032,0.864
1626103903137,2021-07-12T11.31.43.137,0.934,0.516,0.031,0.865
1626103903158,2021-07-12T11.31.43.158,0.955,0.518,0.032,0.865
1626103903178,2021-07-12T11.31.43.178,0.975,0.517,0.032,0.865
1626103903197,2021-07-12T11.31.43.197,0.994,0.517,0.032,0.866
1626103903218,2021-07-12T11.31.43.218,1.015,0.517,0.032,0.863
1626103903238,2021-07-12T11.31.43.238,1.035,0.517,0.031,0.866
1626103903259,2021-07-12T11.31.43.259,1.056,0.515,0.032,0.867
1626103903279,2021-07-12T11.31.43.279,1.076,0.517,0.031,0.866
1626103903300,2021-07-12T11.31.43.300,1.097,0.518,0.032,0.865
1626103903320,2021-07-12T11.31.43.320,1.117,0.516,0.033,0.864
1626103903339,2021-07-12T11.31.43.339,1.136,0.517,0.031,0.867
1626103903360,2021-07-12T11.31.43.360,1.157,0.516,0.031,0.866
1626103903380,2021-07-12T11.31.43.380,1.177,0.516,0.030,0.866
1626103903401,2021-07-12T11.31.43.401,1.198,0.517,0.031,0.866
1626103903421,2021-07-12T11.31.43.421,1.218,0.515,0.030,0.865
1626103903442,2021-07-12T11.31.43.442,1.239,0.515,0.032,0.863
1626103903462,2021-07-12T11.31.43.462,1.259,0.517,0.032,0.866
1626103903481,2021-07-12T11.31.43.481,1.278,0.515,0.032,0.867
1626103903502,2021-07-12T11.31.43.502,1.299,0.516,0.032,0.866
1626103903522,2021-07-12T11.31.43.522,1.319,0.514,0.030,0.867
1626103903543,2021-07-12T11.31.43.543,1.340,0.516,0.030,0.866
1626103903563,2021-07-12T11.31.43.563,1.360,0.516,0.031,0.866
1626103903584,2021-07-12T11.31.43.584,1.381,0.515,0.031,0.867
1626103903604,2021-07-12T11.31.43.604,1.401,0.516,0.030,0.865
1626103903623,2021-07-12T11.31.43.623,1.420,0.517,0.031,0.867
1626103903644,2021-07-12T11.31.43.644,1.441,0.514,0.031,0.866
1626103903664,2021-07-12T11.31.43.664,1.461,0.515,0.030,0.867
1626103903685,2021-07-12T11.31.43.685,1.482,0.515,0.030,0.866
1626103903705,2021-07-12T11.31.43.705,1.502,0.516,0.032,0.865
1626103903726,2021-07-12T11.31.43.726,1.523,0.516,0.031,0.866
1626103903746,2021-07-12T11.31.43.746,1.543,0.513,0.032,0.867
1626103903766,2021-07-12T11.31.43.766,1.563,0.515,0.032,0.866
1626103903786,2021-07-12T11.31.43.786,1.583,0.515,0.031,0.868
1626103903807,2021-07-12T11.31.43.807,1.604,0.515,0.031,0.868
1626103903827,2021-07-12T11.31.43.827,1.624,0.514,0.030,0.867
1626103903848,2021-07-12T11.31.43.848,1.645,0.516,0.032,0.866
1626103903868,2021-07-12T11.31.43.868,1.665,0.516,0.031,0.866
1626103903889,2021-07-12T11.31.43.889,1.686,0.516,0.031,0.865
1626103903908,2021-07-12T11.31.43.908,1.705,0.516,0.032,0.867
1626103903928,2021-07-12T11.31.43.928,1.725,0.514,0.030,0.866
1626103903949,2021-07-12T11.31.43.949,1.746,0.516,0.030,0.866
1626103903969,2021-07-12T11.31.43.969,1.766,0.516,0.032,0.867
1626103903990,2021-07-12T11.31.43.990,1.787,0.515,0.032,0.866
1626103904010,2021-07-12T11.31.44.010,1.807,0.514,0.033,0.866
1626103904031,2021-07-12T11.31.44.031,1.828,0.517,0.032,0.866
1626103904050,2021-07-12T11.31.44.050,1.847,0.517,0.031,0.867
1626103904070,2021-07-12T11.31.44.070,1.867,0.515,0.030,0.869
1626103904091,2021-07-12T11.31.44.091,1.888,0.515,0.032,0.865
1626103904111,2021-07-12T11.31.44.111,1.908,0.516,0.032,0.865
1626103904132,2021-07-12T11.31.44.132,1.929,0.515,0.032,0.865
1626103904152,2021-07-12T11.31.44.152,1.949,0.515,0.031,0.867
1626103904173,2021-07-12T11.31.44.173,1.970,0.516,0.030,0.867
