epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636748292561,2021-11-12T15.18.12.561,0.000,0.325,0.042,0.950
1636748292581,2021-11-12T15.18.12.581,0.020,0.326,0.042,0.958
1636748292600,2021-11-12T15.18.12.600,0.039,0.326,0.042,0.956
1636748292619,2021-11-12T15.18.12.619,0.058,0.325,0.043,0.957
1636748292640,2021-11-12T15.18.12.640,0.079,0.327,0.042,0.958
1636748292659,2021-11-12T15.18.12.659,0.098,0.327,0.042,0.956
1636748292679,2021-11-12T15.18.12.679,0.118,0.325,0.042,0.956
1636748292698,2021-11-12T15.18.12.698,0.137,0.326,0.042,0.957
1636748292719,2021-11-12T15.18.12.719,0.158,0.326,0.043,0.957
1636748292738,2021-11-12T15.18.12.738,0.177,0.327,0.044,0.955
1636748292757,2021-11-12T15.18.12.757,0.196,0.326,0.042,0.954
1636748292777,2021-11-12T15.18.12.777,0.216,0.327,0.042,0.956
1636748292796,2021-11-12T15.18.12.796,0.235,0.326,0.043,0.958
1636748292817,2021-11-12T15.18.12.817,0.256,0.326,0.043,0.957
1636748292836,2021-11-12T15.18.12.836,0.275,0.326,0.043,0.955
1636748292856,2021-11-12T15.18.12.856,0.295,0.327,0.043,0.957
1636748292875,2021-11-12T15.18.12.875,0.314,0.325,0.042,0.957
1636748292896,2021-11-12T15.18.12.896,0.335,0.326,0.043,0.955
1636748292915,2021-11-12T15.18.12.915,0.354,0.328,0.043,0.957
1636748292934,2021-11-12T15.18.12.934,0.373,0.327,0.042,0.955
1636748292955,2021-11-12T15.18.12.955,0.394,0.326,0.042,0.956
1636748292974,2021-11-12T15.18.12.974,0.413,0.325,0.043,0.956
1636748292994,2021-11-12T15.18.12.994,0.433,0.326,0.044,0.959
1636748293013,2021-11-12T15.18.13.013,0.452,0.327,0.042,0.955
1636748293034,2021-11-12T15.18.13.034,0.473,0.327,0.043,0.957
1636748293053,2021-11-12T15.18.13.053,0.492,0.327,0.044,0.958
1636748293072,2021-11-12T15.18.13.072,0.511,0.327,0.043,0.960
1636748293092,2021-11-12T15.18.13.092,0.531,0.326,0.043,0.958
1636748293111,2021-11-12T15.18.13.111,0.550,0.325,0.042,0.956
1636748293132,2021-11-12T15.18.13.132,0.571,0.326,0.043,0.958
1636748293151,2021-11-12T15.18.13.151,0.590,0.325,0.043,0.956
1636748293171,2021-11-12T15.18.13.171,0.610,0.325,0.042,0.956
1636748293190,2021-11-12T15.18.13.190,0.629,0.328,0.042,0.957
1636748293211,2021-11-12T15.18.13.211,0.650,0.327,0.043,0.956
1636748293230,2021-11-12T15.18.13.230,0.669,0.328,0.042,0.957
1636748293249,2021-11-12T15.18.13.249,0.688,0.326,0.043,0.957
1636748293270,2021-11-12T15.18.13.270,0.709,0.327,0.043,0.957
1636748293289,2021-11-12T15.18.13.289,0.728,0.325,0.042,0.958
1636748293309,2021-11-12T15.18.13.309,0.748,0.325,0.041,0.958
1636748293328,2021-11-12T15.18.13.328,0.767,0.327,0.044,0.958
1636748293349,2021-11-12T15.18.13.349,0.788,0.325,0.042,0.957
