epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636748292541,2021-11-12T15.18.12.541,0.000,-0.122,0.061,-0.427
1636748292561,2021-11-12T15.18.12.561,0.020,0.122,-0.244,-0.732
1636748292581,2021-11-12T15.18.12.581,0.040,0.000,0.244,-0.671
1636748292600,2021-11-12T15.18.12.600,0.059,0.000,0.244,-0.549
1636748292619,2021-11-12T15.18.12.619,0.078,0.061,0.244,-0.610
1636748292640,2021-11-12T15.18.12.640,0.099,0.000,0.244,-0.549
1636748292659,2021-11-12T15.18.12.659,0.118,0.000,0.183,-0.549
1636748292679,2021-11-12T15.18.12.679,0.138,-0.061,0.183,-0.488
1636748292698,2021-11-12T15.18.12.698,0.157,0.000,0.183,-0.549
1636748292719,2021-11-12T15.18.12.719,0.178,0.000,0.244,-0.610
1636748292738,2021-11-12T15.18.12.738,0.197,0.000,0.183,-0.549
1636748292757,2021-11-12T15.18.12.757,0.216,0.000,0.183,-0.488
1636748292777,2021-11-12T15.18.12.777,0.236,0.000,0.244,-0.488
1636748292796,2021-11-12T15.18.12.796,0.255,0.000,0.183,-0.549
1636748292817,2021-11-12T15.18.12.817,0.276,0.000,0.183,-0.549
1636748292836,2021-11-12T15.18.12.836,0.295,0.000,0.183,-0.549
1636748292856,2021-11-12T15.18.12.856,0.315,0.000,0.244,-0.549
1636748292875,2021-11-12T15.18.12.875,0.334,-0.061,0.305,-0.549
1636748292896,2021-11-12T15.18.12.896,0.355,-0.061,0.244,-0.610
1636748292915,2021-11-12T15.18.12.915,0.374,-0.061,0.183,-0.610
1636748292934,2021-11-12T15.18.12.934,0.393,0.000,0.122,-0.610
1636748292955,2021-11-12T15.18.12.955,0.414,0.000,0.244,-0.610
1636748292974,2021-11-12T15.18.12.974,0.433,0.122,0.244,-0.549
1636748292994,2021-11-12T15.18.12.994,0.453,0.061,0.183,-0.549
1636748293013,2021-11-12T15.18.13.013,0.472,0.000,0.305,-0.549
1636748293034,2021-11-12T15.18.13.034,0.493,0.000,0.244,-0.549
1636748293053,2021-11-12T15.18.13.053,0.512,-0.061,0.183,-0.610
1636748293072,2021-11-12T15.18.13.072,0.531,-0.061,0.244,-0.488
1636748293092,2021-11-12T15.18.13.092,0.551,0.000,0.244,-0.549
1636748293111,2021-11-12T15.18.13.111,0.570,0.000,0.244,-0.549
1636748293132,2021-11-12T15.18.13.132,0.591,0.000,0.183,-0.549
1636748293151,2021-11-12T15.18.13.151,0.610,0.000,0.183,-0.610
1636748293171,2021-11-12T15.18.13.171,0.630,0.000,0.244,-0.610
1636748293190,2021-11-12T15.18.13.190,0.649,0.000,0.305,-0.610
1636748293211,2021-11-12T15.18.13.211,0.670,-0.061,0.244,-0.488
1636748293230,2021-11-12T15.18.13.230,0.689,-0.122,0.122,-0.549
1636748293249,2021-11-12T15.18.13.249,0.708,-0.183,0.061,-0.610
1636748293270,2021-11-12T15.18.13.270,0.729,-0.122,0.122,-0.549
1636748293289,2021-11-12T15.18.13.289,0.748,-0.061,0.183,-0.549
1636748293309,2021-11-12T15.18.13.309,0.768,0.000,0.183,-0.549
1636748293328,2021-11-12T15.18.13.328,0.787,0.000,0.183,-0.549
1636748293349,2021-11-12T15.18.13.349,0.808,0.122,0.183,-0.488
1636748293368,2021-11-12T15.18.13.368,0.827,0.061,0.244,-0.549
1636748293387,2021-11-12T15.18.13.387,0.846,0.061,0.244,-0.549
1636748293407,2021-11-12T15.18.13.407,0.866,0.061,0.183,-0.488
1636748293426,2021-11-12T15.18.13.426,0.885,0.000,0.244,-0.549
1636748293447,2021-11-12T15.18.13.447,0.906,0.000,0.305,-0.549
1636748293466,2021-11-12T15.18.13.466,0.925,-0.061,0.244,-0.549
1636748293486,2021-11-12T15.18.13.486,0.945,0.000,0.305,-0.549
1636748293505,2021-11-12T15.18.13.505,0.964,-0.061,0.244,-0.549
1636748293526,2021-11-12T15.18.13.526,0.985,-0.061,0.122,-0.549
1636748293545,2021-11-12T15.18.13.545,1.004,0.000,0.183,-0.610
1636748293564,2021-11-12T15.18.13.564,1.023,0.000,0.183,-0.549
1636748293584,2021-11-12T15.18.13.584,1.043,-0.061,0.183,-0.549
1636748293604,2021-11-12T15.18.13.604,1.063,0.000,0.183,-0.488
1636748293624,2021-11-12T15.18.13.624,1.083,0.000,0.122,-0.549
1636748293643,2021-11-12T15.18.13.643,1.102,0.000,0.183,-0.549
1636748293664,2021-11-12T15.18.13.664,1.123,-0.122,0.244,-0.549
1636748293683,2021-11-12T15.18.13.683,1.142,-0.122,0.183,-0.549
1636748293702,2021-11-12T15.18.13.702,1.161,-0.122,0.122,-0.549
1636748293722,2021-11-12T15.18.13.722,1.181,-0.122,0.183,-0.549
1636748293741,2021-11-12T15.18.13.741,1.200,-0.122,0.244,-0.610
1636748293762,2021-11-12T15.18.13.762,1.221,-0.061,0.305,-0.610
1636748293781,2021-11-12T15.18.13.781,1.240,-0.061,0.305,-0.549
1636748293801,2021-11-12T15.18.13.801,1.260,0.000,0.305,-0.549
1636748293820,2021-11-12T15.18.13.820,1.279,0.000,0.244,-0.610
1636748293841,2021-11-12T15.18.13.841,1.300,-0.061,0.244,-0.610
1636748293860,2021-11-12T15.18.13.860,1.319,0.000,0.244,-0.549
1636748293879,2021-11-12T15.18.13.879,1.338,0.061,0.244,-0.549
1636748293899,2021-11-12T15.18.13.899,1.358,0.000,0.305,-0.610
1636748293918,2021-11-12T15.18.13.918,1.377,0.061,0.244,-0.549
1636748293939,2021-11-12T15.18.13.939,1.398,0.000,0.244,-0.549
1636748293958,2021-11-12T15.18.13.958,1.417,0.061,0.183,-0.610
1636748293979,2021-11-12T15.18.13.979,1.438,0.000,0.122,-0.549
1636748293998,2021-11-12T15.18.13.998,1.457,0.000,0.183,-0.549
