epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1637086626166,2021-11-16T13.17.06.166,0.000,-10.915,-62.927,79.634
1637086626187,2021-11-16T13.17.06.187,0.021,-11.280,-48.780,74.939
1637086626207,2021-11-16T13.17.06.207,0.041,-14.634,-17.622,58.354
1637086626228,2021-11-16T13.17.06.228,0.062,-13.598,-44.268,38.415
1637086626248,2021-11-16T13.17.06.248,0.082,-21.829,-77.500,14.939
1637086626269,2021-11-16T13.17.06.269,0.103,-32.622,-73.293,3.171
1637086626288,2021-11-16T13.17.06.288,0.122,-12.073,-65.122,0.732
1637086626308,2021-11-16T13.17.06.308,0.142,-3.659,-60.366,22.866
1637086626329,2021-11-16T13.17.06.329,0.163,5.854,-58.537,34.451
1637086626349,2021-11-16T13.17.06.349,0.183,11.829,-55.549,27.012
1637086626370,2021-11-16T13.17.06.370,0.204,19.695,-53.293,17.378
1637086626390,2021-11-16T13.17.06.390,0.224,24.939,-44.939,11.951
1637086626411,2021-11-16T13.17.06.411,0.245,22.012,-30.061,10.793
1637086626431,2021-11-16T13.17.06.431,0.265,13.354,-16.890,8.720
1637086626451,2021-11-16T13.17.06.451,0.285,10.610,-13.049,5.366
1637086626471,2021-11-16T13.17.06.471,0.305,10.549,-12.256,3.415
1637086626492,2021-11-16T13.17.06.492,0.326,10.427,-9.573,1.768
1637086626512,2021-11-16T13.17.06.512,0.346,12.561,-8.720,0.549
1637086626533,2021-11-16T13.17.06.533,0.367,13.171,-9.085,0.610
1637086626553,2021-11-16T13.17.06.553,0.387,10.732,-8.415,1.829
1637086626574,2021-11-16T13.17.06.574,0.408,6.890,-9.390,3.049
1637086626593,2021-11-16T13.17.06.593,0.427,2.683,-10.305,4.390
1637086626613,2021-11-16T13.17.06.613,0.447,-1.220,-10.854,5.549
1637086626634,2021-11-16T13.17.06.634,0.468,-1.951,-10.366,5.366
1637086626654,2021-11-16T13.17.06.654,0.488,-0.061,-11.646,3.841
1637086626675,2021-11-16T13.17.06.675,0.509,1.829,-11.890,1.829
1637086626695,2021-11-16T13.17.06.695,0.529,2.866,-10.549,0.244
1637086626716,2021-11-16T13.17.06.716,0.550,3.720,-9.878,0.061
1637086626735,2021-11-16T13.17.06.735,0.569,2.805,-8.659,0.122
1637086626755,2021-11-16T13.17.06.755,0.589,0.183,-7.500,0.793
1637086626776,2021-11-16T13.17.06.776,0.610,-1.159,-6.951,1.402
1637086626796,2021-11-16T13.17.06.796,0.630,-1.098,-7.988,1.829
1637086626817,2021-11-16T13.17.06.817,0.651,-2.683,-8.171,2.256
1637086626837,2021-11-16T13.17.06.837,0.671,-4.512,-8.049,2.744
1637086626858,2021-11-16T13.17.06.858,0.692,-4.878,-6.463,3.232
1637086626877,2021-11-16T13.17.06.877,0.711,-4.390,-5.671,3.537
1637086626897,2021-11-16T13.17.06.897,0.731,-5.854,-5.427,4.512
1637086626918,2021-11-16T13.17.06.918,0.752,-8.780,-5.061,5.793
1637086626938,2021-11-16T13.17.06.938,0.772,-9.573,-4.817,5.915
1637086626959,2021-11-16T13.17.06.959,0.793,-9.329,-5.244,5.244
1637086626979,2021-11-16T13.17.06.979,0.813,-8.537,-5.488,4.451
1637086627000,2021-11-16T13.17.07.000,0.834,-7.866,-5.854,3.963
1637086627020,2021-11-16T13.17.07.020,0.854,-8.354,-6.646,3.841
1637086627039,2021-11-16T13.17.07.039,0.873,-7.866,-6.890,3.659
1637086627060,2021-11-16T13.17.07.060,0.894,-6.524,-6.341,3.171
1637086627080,2021-11-16T13.17.07.080,0.914,-6.402,-5.854,2.866
1637086627101,2021-11-16T13.17.07.101,0.935,-8.841,-6.220,2.500
1637086627121,2021-11-16T13.17.07.121,0.955,-11.524,-6.463,1.829
1637086627142,2021-11-16T13.17.07.142,0.976,-12.439,-6.402,1.037
1637086627162,2021-11-16T13.17.07.162,0.996,-15.061,-6.707,0.122
1637086627181,2021-11-16T13.17.07.181,1.015,-16.829,-6.524,-0.976
1637086627202,2021-11-16T13.17.07.202,1.036,-15.427,-6.341,-1.829
1637086627222,2021-11-16T13.17.07.222,1.056,-12.927,-6.159,-2.195
1637086627243,2021-11-16T13.17.07.243,1.077,-11.585,-6.585,-2.317
1637086627264,2021-11-16T13.17.07.264,1.098,-10.732,-6.768,-2.134
1637086627284,2021-11-16T13.17.07.284,1.118,-8.171,-5.976,-1.951
1637086627305,2021-11-16T13.17.07.305,1.139,-5.061,-5.366,-1.951
1637086627324,2021-11-16T13.17.07.324,1.158,-1.951,-5.000,-1.524
1637086627344,2021-11-16T13.17.07.344,1.178,1.463,-4.939,-1.098
1637086627365,2021-11-16T13.17.07.365,1.199,6.159,-5.488,-0.366
1637086627385,2021-11-16T13.17.07.385,1.219,7.561,-6.707,0.549
1637086627406,2021-11-16T13.17.07.406,1.240,8.293,-8.963,1.402
1637086627426,2021-11-16T13.17.07.426,1.260,8.598,-14.573,3.780
1637086627447,2021-11-16T13.17.07.447,1.281,9.390,-21.768,7.378
1637086627466,2021-11-16T13.17.07.466,1.300,12.500,-31.159,10.122
1637086627486,2021-11-16T13.17.07.486,1.320,17.622,-42.866,12.561
1637086627507,2021-11-16T13.17.07.507,1.341,25.305,-54.268,13.415
1637086627527,2021-11-16T13.17.07.527,1.361,30.122,-67.439,11.707
1637086627548,2021-11-16T13.17.07.548,1.382,39.512,-79.268,9.451
1637086627568,2021-11-16T13.17.07.568,1.402,49.024,-90.244,9.939
1637086627589,2021-11-16T13.17.07.589,1.423,50.488,-101.341,10.366
1637086627608,2021-11-16T13.17.07.608,1.442,49.024,-112.378,8.049
1637086627628,2021-11-16T13.17.07.628,1.462,58.354,-121.951,5.793
1637086627649,2021-11-16T13.17.07.649,1.483,68.598,-132.866,2.561
1637086627669,2021-11-16T13.17.07.669,1.503,79.329,-142.134,0.488
1637086627690,2021-11-16T13.17.07.690,1.524,104.390,-139.390,6.585
1637086627710,2021-11-16T13.17.07.710,1.544,124.268,-127.927,22.317
1637086627731,2021-11-16T13.17.07.731,1.565,125.732,-117.012,43.780
1637086627750,2021-11-16T13.17.07.750,1.584,125.488,-101.890,60.854
1637086627770,2021-11-16T13.17.07.770,1.604,114.939,-84.939,78.659
1637086627791,2021-11-16T13.17.07.791,1.625,161.768,-75.427,83.293
1637086627811,2021-11-16T13.17.07.811,1.645,190.854,-48.720,78.659
1637086627832,2021-11-16T13.17.07.832,1.666,105.061,-15.854,74.756
1637086627852,2021-11-16T13.17.07.852,1.686,-46.646,20.122,41.707
1637086627873,2021-11-16T13.17.07.873,1.707,-92.134,69.451,13.598
1637086627893,2021-11-16T13.17.07.893,1.727,-34.146,75.854,23.110
1637086627912,2021-11-16T13.17.07.912,1.746,-12.988,78.293,22.927
1637086627933,2021-11-16T13.17.07.933,1.767,-42.256,90.671,-8.293
1637086627953,2021-11-16T13.17.07.953,1.787,-69.146,103.841,-39.512
1637086627974,2021-11-16T13.17.07.974,1.808,-63.354,113.354,-53.476
1637086627994,2021-11-16T13.17.07.994,1.828,-55.000,125.244,-57.866
1637086628015,2021-11-16T13.17.08.015,1.849,-62.683,143.049,-61.707
1637086628035,2021-11-16T13.17.08.035,1.869,-64.939,159.146,-60.671
1637086628055,2021-11-16T13.17.08.055,1.889,-55.976,171.341,-58.232
1637086628075,2021-11-16T13.17.08.075,1.909,-51.220,179.268,-57.378
1637086628096,2021-11-16T13.17.08.096,1.930,-51.402,176.402,-54.085
1637086628116,2021-11-16T13.17.08.116,1.950,-49.695,166.280,-48.720
1637086628137,2021-11-16T13.17.08.137,1.971,-36.220,164.451,-53.171
1637086628157,2021-11-16T13.17.08.157,1.991,-19.695,167.378,-67.866
1637086628178,2021-11-16T13.17.08.178,2.012,-9.512,160.366,-81.829
1637086628197,2021-11-16T13.17.08.197,2.031,-2.256,148.841,-93.110
1637086628217,2021-11-16T13.17.08.217,2.051,-1.220,138.415,-100.671
1637086628238,2021-11-16T13.17.08.238,2.072,-0.122,120.793,-104.390
1637086628258,2021-11-16T13.17.08.258,2.092,3.110,94.939,-103.780
1637086628279,2021-11-16T13.17.08.279,2.113,3.171,66.951,-103.476
1637086628299,2021-11-16T13.17.08.299,2.133,0.305,31.402,-93.720
1637086628320,2021-11-16T13.17.08.320,2.154,12.561,6.037,-77.256
1637086628339,2021-11-16T13.17.08.339,2.173,12.988,-13.415,-49.085
1637086628359,2021-11-16T13.17.08.359,2.193,-6.829,-39.756,-11.341
1637086628380,2021-11-16T13.17.08.380,2.214,-60.427,-103.415,20.549
1637086628400,2021-11-16T13.17.08.400,2.234,-64.756,-113.963,23.171
1637086628421,2021-11-16T13.17.08.421,2.255,-54.146,-92.256,35.671
1637086628441,2021-11-16T13.17.08.441,2.275,-38.476,-125.976,44.939
1637086628462,2021-11-16T13.17.08.462,2.296,3.841,-94.085,43.049
1637086628481,2021-11-16T13.17.08.481,2.315,30.305,-61.037,38.659
1637086628501,2021-11-16T13.17.08.501,2.335,33.902,-49.878,18.963
1637086628522,2021-11-16T13.17.08.522,2.356,15.183,-29.512,10.671
1637086628542,2021-11-16T13.17.08.542,2.376,11.646,-23.293,12.439
1637086628563,2021-11-16T13.17.08.563,2.397,3.415,-20.061,13.354
1637086628583,2021-11-16T13.17.08.583,2.417,-1.646,-20.000,12.866
1637086628604,2021-11-16T13.17.08.604,2.438,2.500,-16.768,9.573
1637086628623,2021-11-16T13.17.08.623,2.457,6.220,-13.415,5.122
1637086628643,2021-11-16T13.17.08.643,2.477,9.878,-12.561,2.256
1637086628664,2021-11-16T13.17.08.664,2.498,10.610,-12.073,0.549
1637086628684,2021-11-16T13.17.08.684,2.518,7.866,-10.671,0.000
1637086628705,2021-11-16T13.17.08.705,2.539,2.439,-8.659,0.061
1637086628725,2021-11-16T13.17.08.725,2.559,-4.695,-7.500,1.524
1637086628746,2021-11-16T13.17.08.746,2.580,-9.085,-7.256,2.317
1637086628766,2021-11-16T13.17.08.766,2.600,-7.134,-7.073,1.341
1637086628785,2021-11-16T13.17.08.785,2.619,-3.354,-7.012,0.488
1637086628806,2021-11-16T13.17.08.806,2.640,-1.890,-6.951,0.000
1637086628826,2021-11-16T13.17.08.826,2.660,-1.098,-5.732,0.122
1637086628847,2021-11-16T13.17.08.847,2.681,-2.561,-5.488,0.976
1637086628868,2021-11-16T13.17.08.868,2.702,-4.329,-5.671,1.646
1637086628888,2021-11-16T13.17.08.888,2.722,-4.329,-4.878,1.829
1637086628909,2021-11-16T13.17.08.909,2.743,-3.720,-4.024,1.829
1637086628928,2021-11-16T13.17.08.928,2.762,-4.512,-4.207,2.683
1637086628948,2021-11-16T13.17.08.948,2.782,-6.098,-5.000,3.537
1637086628969,2021-11-16T13.17.08.969,2.803,-6.951,-5.427,3.720
1637086628989,2021-11-16T13.17.08.989,2.823,-7.439,-5.305,3.415
1637086629010,2021-11-16T13.17.09.010,2.844,-6.951,-5.000,2.805
1637086629030,2021-11-16T13.17.09.030,2.864,-6.220,-4.451,2.256
1637086629051,2021-11-16T13.17.09.051,2.885,-5.915,-3.720,2.073
1637086629070,2021-11-16T13.17.09.070,2.904,-6.037,-2.927,2.073
1637086629090,2021-11-16T13.17.09.090,2.924,-6.402,-2.561,2.073
1637086629111,2021-11-16T13.17.09.111,2.945,-6.646,-2.134,1.768
1637086629131,2021-11-16T13.17.09.131,2.965,-6.159,-1.768,1.341
1637086629152,2021-11-16T13.17.09.152,2.986,-5.427,-1.585,1.159
1637086629172,2021-11-16T13.17.09.172,3.006,-5.305,-1.402,1.768
1637086629193,2021-11-16T13.17.09.193,3.027,-6.524,-1.585,2.622
1637086629212,2021-11-16T13.17.09.212,3.046,-8.354,-1.890,2.988
1637086629232,2021-11-16T13.17.09.232,3.066,-10.000,-1.524,3.232
1637086629253,2021-11-16T13.17.09.253,3.087,-9.878,-0.610,2.805
1637086629273,2021-11-16T13.17.09.273,3.107,-9.451,-0.366,2.012
1637086629294,2021-11-16T13.17.09.294,3.128,-9.268,-0.610,1.707
1637086629314,2021-11-16T13.17.09.314,3.148,-9.329,-0.915,1.463
1637086629335,2021-11-16T13.17.09.335,3.169,-7.500,-0.976,0.610
1637086629354,2021-11-16T13.17.09.354,3.188,-6.585,-1.159,0.305
1637086629374,2021-11-16T13.17.09.374,3.208,-6.341,-1.829,0.305
1637086629395,2021-11-16T13.17.09.395,3.229,-8.049,-2.317,0.610
1637086629415,2021-11-16T13.17.09.415,3.249,-8.171,-2.378,0.488
1637086629436,2021-11-16T13.17.09.436,3.270,-8.841,-3.780,0.732
1637086629456,2021-11-16T13.17.09.456,3.290,-9.939,-5.061,0.793
1637086629477,2021-11-16T13.17.09.477,3.311,-11.159,-6.463,0.793
1637086629496,2021-11-16T13.17.09.496,3.330,-15.854,-8.963,1.220
1637086629516,2021-11-16T13.17.09.516,3.350,-17.927,-9.085,0.488
1637086629537,2021-11-16T13.17.09.537,3.371,-12.805,-7.378,0.061
1637086629557,2021-11-16T13.17.09.557,3.391,-1.098,-7.500,2.317
1637086629578,2021-11-16T13.17.09.578,3.412,7.134,-16.341,6.707
1637086629598,2021-11-16T13.17.09.598,3.432,6.768,-30.366,9.817
1637086629619,2021-11-16T13.17.09.619,3.453,16.280,-40.915,11.463
1637086629639,2021-11-16T13.17.09.639,3.473,20.671,-51.829,12.683
1637086629659,2021-11-16T13.17.09.659,3.493,25.854,-62.134,12.073
1637086629679,2021-11-16T13.17.09.679,3.513,32.622,-72.744,13.232
1637086629700,2021-11-16T13.17.09.700,3.534,30.244,-85.732,16.098
1637086629720,2021-11-16T13.17.09.720,3.554,29.146,-99.573,19.268
1637086629741,2021-11-16T13.17.09.741,3.575,32.439,-112.622,23.659
1637086629761,2021-11-16T13.17.09.761,3.595,30.366,-124.085,29.512
1637086629782,2021-11-16T13.17.09.782,3.616,40.061,-133.354,40.000
1637086629801,2021-11-16T13.17.09.801,3.635,51.707,-129.573,56.829
1637086629821,2021-11-16T13.17.09.821,3.655,40.671,-113.780,61.707
1637086629842,2021-11-16T13.17.09.842,3.676,15.610,-92.866,67.317
1637086629862,2021-11-16T13.17.09.862,3.696,-19.634,-86.646,71.524
1637086629883,2021-11-16T13.17.09.883,3.717,-44.634,-88.354,61.768
1637086629903,2021-11-16T13.17.09.903,3.737,-57.866,-58.537,28.902
1637086629924,2021-11-16T13.17.09.924,3.758,-77.866,-40.305,-15.793
1637086629943,2021-11-16T13.17.09.943,3.777,-78.476,-24.146,-44.268
1637086629963,2021-11-16T13.17.09.963,3.797,-89.268,-15.427,-60.122
1637086629984,2021-11-16T13.17.09.984,3.818,-99.817,-3.476,-71.951
1637086630004,2021-11-16T13.17.10.004,3.838,-104.817,10.793,-82.195
1637086630025,2021-11-16T13.17.10.025,3.859,-108.537,22.683,-88.354
1637086630045,2021-11-16T13.17.10.045,3.879,-114.573,32.683,-95.610
1637086630066,2021-11-16T13.17.10.066,3.900,-120.671,40.854,-103.780
1637086630085,2021-11-16T13.17.10.085,3.919,-127.378,47.866,-110.366
1637086630105,2021-11-16T13.17.10.105,3.939,-132.927,53.476,-117.866
1637086630126,2021-11-16T13.17.10.126,3.960,-134.939,56.890,-126.707
1637086630146,2021-11-16T13.17.10.146,3.980,-137.683,59.939,-136.585
1637086630167,2021-11-16T13.17.10.167,4.001,-143.110,60.976,-149.939
1637086630187,2021-11-16T13.17.10.187,4.021,-147.317,57.927,-166.829
1637086630208,2021-11-16T13.17.10.208,4.042,-150.976,52.683,-187.622
1637086630227,2021-11-16T13.17.10.227,4.061,-158.963,43.598,-210.793
1637086630247,2021-11-16T13.17.10.247,4.081,-168.720,32.988,-236.829
1637086630268,2021-11-16T13.17.10.268,4.102,-185.610,20.610,-267.256
1637086630288,2021-11-16T13.17.10.288,4.122,-189.939,-2.134,-289.329
1637086630309,2021-11-16T13.17.10.309,4.143,-164.390,-34.756,-291.463
1637086630329,2021-11-16T13.17.10.329,4.163,-130.793,-63.049,-275.976
1637086630350,2021-11-16T13.17.10.350,4.184,-100.732,-75.671,-242.805
1637086630369,2021-11-16T13.17.10.369,4.203,-61.829,-75.305,-191.463
1637086630389,2021-11-16T13.17.10.389,4.223,-19.451,-69.329,-128.841
1637086630410,2021-11-16T13.17.10.410,4.244,16.402,-36.341,-41.524
1637086630431,2021-11-16T13.17.10.431,4.265,1.890,5.732,10.549
1637086630451,2021-11-16T13.17.10.451,4.285,-41.037,2.500,3.720
1637086630472,2021-11-16T13.17.10.472,4.306,-72.866,5.427,13.598
1637086630492,2021-11-16T13.17.10.492,4.326,-50.305,11.890,1.524
1637086630513,2021-11-16T13.17.10.513,4.347,16.890,16.585,-10.915
1637086630532,2021-11-16T13.17.10.532,4.366,25.793,7.256,-5.244
1637086630552,2021-11-16T13.17.10.552,4.386,10.244,-1.463,-1.159
1637086630573,2021-11-16T13.17.10.573,4.407,8.415,0.427,-0.915
1637086630593,2021-11-16T13.17.10.593,4.427,6.037,3.841,0.976
1637086630614,2021-11-16T13.17.10.614,4.448,3.415,6.037,2.927
1637086630634,2021-11-16T13.17.10.634,4.468,2.439,6.585,3.476
1637086630655,2021-11-16T13.17.10.655,4.489,1.585,5.427,2.927
1637086630674,2021-11-16T13.17.10.674,4.508,2.988,4.817,1.829
1637086630694,2021-11-16T13.17.10.694,4.528,4.329,4.573,1.646
1637086630715,2021-11-16T13.17.10.715,4.549,3.171,3.354,1.098
1637086630735,2021-11-16T13.17.10.735,4.569,2.805,2.805,0.976
1637086630756,2021-11-16T13.17.10.756,4.590,1.768,2.195,1.098
1637086630776,2021-11-16T13.17.10.776,4.610,0.976,1.585,1.098
1637086630797,2021-11-16T13.17.10.797,4.631,1.341,1.220,0.915
1637086630816,2021-11-16T13.17.10.816,4.650,1.951,1.402,0.854
1637086630836,2021-11-16T13.17.10.836,4.670,1.646,1.707,0.854
1637086630857,2021-11-16T13.17.10.857,4.691,1.585,1.890,0.732
1637086630877,2021-11-16T13.17.10.877,4.711,2.195,1.951,0.366
1637086630898,2021-11-16T13.17.10.898,4.732,2.378,1.951,0.000
1637086630918,2021-11-16T13.17.10.918,4.752,2.927,2.256,-0.427
1637086630939,2021-11-16T13.17.10.939,4.773,3.415,2.073,-0.488
