epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1622217762076,2021-05-28T12.02.42.076,0.000,0.524,0.309,0.781
1622217762096,2021-05-28T12.02.42.096,0.020,0.528,0.313,0.790
1622217762117,2021-05-28T12.02.42.117,0.041,0.528,0.313,0.787
1622217762137,2021-05-28T12.02.42.137,0.061,0.527,0.313,0.787
1622217762158,2021-05-28T12.02.42.158,0.082,0.527,0.312,0.787
1622217762177,2021-05-28T12.02.42.177,0.101,0.527,0.312,0.788
1622217762197,2021-05-28T12.02.42.197,0.121,0.527,0.313,0.789
1622217762218,2021-05-28T12.02.42.218,0.142,0.528,0.313,0.789
1622217762238,2021-05-28T12.02.42.238,0.162,0.527,0.311,0.788
1622217762257,2021-05-28T12.02.42.257,0.181,0.526,0.312,0.788
1622217762278,2021-05-28T12.02.42.278,0.202,0.527,0.313,0.788
1622217762298,2021-05-28T12.02.42.298,0.222,0.526,0.313,0.788
1622217762319,2021-05-28T12.02.42.319,0.243,0.527,0.313,0.787
1622217762339,2021-05-28T12.02.42.339,0.263,0.528,0.313,0.790
1622217762358,2021-05-28T12.02.42.358,0.282,0.528,0.312,0.786
1622217762379,2021-05-28T12.02.42.379,0.303,0.527,0.312,0.787
1622217762399,2021-05-28T12.02.42.399,0.323,0.528,0.313,0.787
1622217762420,2021-05-28T12.02.42.420,0.344,0.526,0.312,0.788
1622217762440,2021-05-28T12.02.42.440,0.364,0.528,0.313,0.790
1622217762459,2021-05-28T12.02.42.459,0.383,0.528,0.313,0.789
1622217762480,2021-05-28T12.02.42.480,0.404,0.526,0.312,0.789
1622217762500,2021-05-28T12.02.42.500,0.424,0.528,0.312,0.787
1622217762521,2021-05-28T12.02.42.521,0.445,0.526,0.313,0.789
1622217762540,2021-05-28T12.02.42.540,0.464,0.526,0.313,0.787
1622217762560,2021-05-28T12.02.42.560,0.484,0.527,0.313,0.788
1622217762581,2021-05-28T12.02.42.581,0.505,0.526,0.312,0.789
1622217762601,2021-05-28T12.02.42.601,0.525,0.526,0.312,0.785
1622217762622,2021-05-28T12.02.42.622,0.546,0.527,0.311,0.787
1622217762641,2021-05-28T12.02.42.641,0.565,0.527,0.312,0.790
1622217762662,2021-05-28T12.02.42.662,0.586,0.527,0.312,0.789
1622217762682,2021-05-28T12.02.42.682,0.606,0.528,0.312,0.786
1622217762703,2021-05-28T12.02.42.703,0.627,0.527,0.312,0.790
1622217762723,2021-05-28T12.02.42.723,0.647,0.527,0.310,0.790
1622217762742,2021-05-28T12.02.42.742,0.666,0.527,0.312,0.788
1622217762763,2021-05-28T12.02.42.763,0.687,0.528,0.313,0.789
1622217762783,2021-05-28T12.02.42.783,0.707,0.528,0.312,0.788
1622217762804,2021-05-28T12.02.42.804,0.728,0.527,0.312,0.789
