epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1619620130900,2021-04-28T10.28.50.900,0.000,-0.122,-0.183,-0.183
1619620130921,2021-04-28T10.28.50.921,0.021,-0.305,-0.183,-0.061
1619620130941,2021-04-28T10.28.50.941,0.041,-0.305,-0.061,-0.061
1619620130960,2021-04-28T10.28.50.960,0.060,-0.305,0.000,-0.183
1619620130981,2021-04-28T10.28.50.981,0.081,-0.244,0.061,-0.244
1619620131001,2021-04-28T10.28.51.001,0.101,-0.305,0.061,-0.183
1619620131022,2021-04-28T10.28.51.022,0.122,-0.366,0.000,-0.061
1619620131042,2021-04-28T10.28.51.042,0.142,-0.305,0.000,0.000
1619620131061,2021-04-28T10.28.51.061,0.161,-0.488,0.244,0.366
1619620131082,2021-04-28T10.28.51.082,0.182,-0.732,0.305,0.915
1619620131102,2021-04-28T10.28.51.102,0.202,-0.732,-0.244,1.098
1619620131123,2021-04-28T10.28.51.123,0.223,-0.427,-0.732,0.793
1619620131142,2021-04-28T10.28.51.142,0.242,-0.183,-0.915,0.427
1619620131163,2021-04-28T10.28.51.163,0.263,-0.244,-0.610,0.244
1619620131183,2021-04-28T10.28.51.183,0.283,-0.366,0.061,0.244
1619620131204,2021-04-28T10.28.51.204,0.304,-0.488,0.549,0.244
1619620131224,2021-04-28T10.28.51.224,0.324,-0.488,0.366,0.183
1619620131243,2021-04-28T10.28.51.243,0.343,-0.305,-0.305,0.183
1619620131264,2021-04-28T10.28.51.264,0.364,0.061,-1.341,0.122
1619620131284,2021-04-28T10.28.51.284,0.384,0.305,-2.195,0.061
1619620131305,2021-04-28T10.28.51.305,0.405,0.488,-3.232,0.305
1619620131325,2021-04-28T10.28.51.325,0.425,0.915,-4.878,0.610
1619620131344,2021-04-28T10.28.51.344,0.444,1.220,-7.073,0.793
1619620131365,2021-04-28T10.28.51.365,0.465,0.793,-7.988,0.976
1619620131385,2021-04-28T10.28.51.385,0.485,2.561,-14.695,0.976
1619620131406,2021-04-28T10.28.51.406,0.506,20.854,-27.195,-4.085
1619620131425,2021-04-28T10.28.51.425,0.525,51.037,-29.512,-11.220
1619620131445,2021-04-28T10.28.51.445,0.545,74.085,-13.537,-10.549
1619620131466,2021-04-28T10.28.51.466,0.566,71.890,13.415,-9.573
1619620131486,2021-04-28T10.28.51.486,0.586,39.512,57.805,-42.134
1619620131507,2021-04-28T10.28.51.507,0.607,-12.439,92.561,-72.622
1619620131526,2021-04-28T10.28.51.526,0.626,-6.159,107.195,-68.171
1619620131546,2021-04-28T10.28.51.546,0.646,25.122,106.890,-49.634
1619620131567,2021-04-28T10.28.51.567,0.667,23.780,108.232,-15.427
1619620131587,2021-04-28T10.28.51.587,0.687,23.110,109.756,4.085
1619620131606,2021-04-28T10.28.51.606,0.706,14.207,110.610,18.293
1619620131627,2021-04-28T10.28.51.627,0.727,8.780,111.341,30.488
1619620131647,2021-04-28T10.28.51.647,0.747,4.146,110.122,37.256
1619620131668,2021-04-28T10.28.51.668,0.768,-0.366,108.293,40.671
1619620131688,2021-04-28T10.28.51.688,0.788,-9.451,103.293,39.634
1619620131707,2021-04-28T10.28.51.707,0.807,-18.902,89.634,32.256
1619620131728,2021-04-28T10.28.51.728,0.828,-33.049,58.902,35.976
1619620131748,2021-04-28T10.28.51.748,0.848,-8.293,21.220,29.573
1619620131769,2021-04-28T10.28.51.769,0.869,14.085,18.780,4.878
1619620131789,2021-04-28T10.28.51.789,0.889,-2.866,24.756,-1.037
1619620131809,2021-04-28T10.28.51.809,0.909,-18.232,19.329,-2.744
