epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1635346030364,2021-10-27T10.47.10.364,0.000,0.600,-0.011,0.786
1635346030383,2021-10-27T10.47.10.383,0.019,0.607,-0.011,0.794
1635346030404,2021-10-27T10.47.10.404,0.040,0.603,-0.010,0.791
1635346030424,2021-10-27T10.47.10.424,0.060,0.604,-0.011,0.793
1635346030443,2021-10-27T10.47.10.443,0.079,0.604,-0.011,0.792
1635346030464,2021-10-27T10.47.10.464,0.100,0.604,-0.011,0.792
1635346030483,2021-10-27T10.47.10.483,0.119,0.604,-0.009,0.792
1635346030503,2021-10-27T10.47.10.503,0.139,0.604,-0.010,0.792
1635346030522,2021-10-27T10.47.10.522,0.158,0.604,-0.012,0.792
1635346030543,2021-10-27T10.47.10.543,0.179,0.604,-0.010,0.791
1635346030564,2021-10-27T10.47.10.564,0.200,0.604,-0.011,0.792
1635346030583,2021-10-27T10.47.10.583,0.219,0.604,-0.012,0.791
1635346030603,2021-10-27T10.47.10.603,0.239,0.605,-0.010,0.790
1635346030622,2021-10-27T10.47.10.622,0.258,0.603,-0.010,0.792
1635346030643,2021-10-27T10.47.10.643,0.279,0.605,-0.008,0.792
1635346030662,2021-10-27T10.47.10.662,0.298,0.606,-0.012,0.792
1635346030682,2021-10-27T10.47.10.682,0.318,0.604,-0.010,0.793
1635346030703,2021-10-27T10.47.10.703,0.339,0.604,-0.010,0.792
1635346030722,2021-10-27T10.47.10.722,0.358,0.605,-0.012,0.792
1635346030742,2021-10-27T10.47.10.742,0.378,0.604,-0.010,0.792
1635346030761,2021-10-27T10.47.10.761,0.397,0.604,-0.012,0.791
1635346030782,2021-10-27T10.47.10.782,0.418,0.605,-0.011,0.792
1635346030801,2021-10-27T10.47.10.801,0.437,0.604,-0.010,0.792
1635346030821,2021-10-27T10.47.10.821,0.457,0.604,-0.011,0.792
1635346030842,2021-10-27T10.47.10.842,0.478,0.604,-0.013,0.792
1635346030861,2021-10-27T10.47.10.861,0.497,0.601,-0.011,0.791
1635346030881,2021-10-27T10.47.10.881,0.517,0.604,-0.012,0.791
1635346030900,2021-10-27T10.47.10.900,0.536,0.604,-0.010,0.792
1635346030921,2021-10-27T10.47.10.921,0.557,0.604,-0.009,0.792
1635346030941,2021-10-27T10.47.10.941,0.577,0.603,-0.010,0.792
1635346030960,2021-10-27T10.47.10.960,0.596,0.604,-0.010,0.792
1635346030981,2021-10-27T10.47.10.981,0.617,0.604,-0.011,0.792
1635346031000,2021-10-27T10.47.11.000,0.636,0.605,-0.011,0.791
1635346031021,2021-10-27T10.47.11.021,0.657,0.606,-0.010,0.793
1635346031040,2021-10-27T10.47.11.040,0.676,0.604,-0.010,0.793
1635346031060,2021-10-27T10.47.11.060,0.696,0.604,-0.010,0.792
