epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635347894399,2021-10-27T11.18.14.399,0.000,131.646,388.110,98.659
1635347894418,2021-10-27T11.18.14.418,0.019,159.756,389.146,92.439
1635347894438,2021-10-27T11.18.14.438,0.039,185.854,380.244,65.488
1635347894457,2021-10-27T11.18.14.457,0.058,211.341,370.305,31.646
1635347894478,2021-10-27T11.18.14.478,0.079,206.890,319.268,35.793
1635347894497,2021-10-27T11.18.14.497,0.098,115.732,193.841,124.512
1635347894517,2021-10-27T11.18.14.517,0.118,106.402,33.598,123.476
1635347894536,2021-10-27T11.18.14.536,0.137,114.817,-42.927,-2.195
1635347894557,2021-10-27T11.18.14.557,0.158,-114.634,-92.195,-111.402
1635347894577,2021-10-27T11.18.14.577,0.178,-175.183,-283.902,-179.817
1635347894596,2021-10-27T11.18.14.596,0.197,-21.159,-343.841,-76.951
1635347894617,2021-10-27T11.18.14.617,0.218,-77.683,-214.146,27.561
1635347894636,2021-10-27T11.18.14.636,0.237,-108.232,-119.451,44.573
1635347894656,2021-10-27T11.18.14.656,0.257,-44.390,-91.829,47.927
1635347894675,2021-10-27T11.18.14.675,0.276,-26.951,-35.915,20.854
1635347894696,2021-10-27T11.18.14.696,0.297,-14.573,-14.024,5.610
1635347894715,2021-10-27T11.18.14.715,0.316,-7.683,-12.256,1.707
1635347894736,2021-10-27T11.18.14.736,0.337,-7.012,-10.732,2.622
1635347894755,2021-10-27T11.18.14.755,0.356,-7.744,-9.573,3.720
1635347894775,2021-10-27T11.18.14.775,0.376,-5.427,-6.280,1.159
1635347894796,2021-10-27T11.18.14.796,0.397,0.488,-4.329,-5.671
1635347894815,2021-10-27T11.18.14.815,0.416,3.293,-4.085,-10.000
1635347894835,2021-10-27T11.18.14.835,0.436,3.902,-3.720,-12.012
1635347894854,2021-10-27T11.18.14.854,0.455,5.671,-4.573,-15.244
1635347894875,2021-10-27T11.18.14.875,0.476,5.122,-12.683,-16.159
1635347894894,2021-10-27T11.18.14.894,0.495,-1.280,-19.878,-12.500
1635347894914,2021-10-27T11.18.14.914,0.515,-2.683,-20.610,-5.793
1635347894933,2021-10-27T11.18.14.933,0.534,-0.061,-23.598,-4.024
1635347894954,2021-10-27T11.18.14.954,0.555,-1.402,-26.890,-2.256
1635347894973,2021-10-27T11.18.14.973,0.574,-7.317,-29.146,0.000
