

Devices
1000
,,Right - Force,,,Right - Moment,,,Right - CoP,,,Left - Force,,,Left - Moment,,,Left - CoP,,,EMG - Voltage,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L_RF_1,L_BF_2,L_SOL_3,L_TA_4,R_RF_5,R_BF_6,R_SOL_7,R_TA_8
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V
795,0,-20.6961,16.5926,-1736.41,-177451,69994.3,36401.5,894.31,928.194,0,70.6339,151.701,-1636.62,-127656,-66978,-103484,251.076,904,0,-0.0035373,-0.0036163,-0.00342859,-0.00345684,-0.00339485,-0.0038796,-0.00370577,-0.00353404
795,1,-20.3909,16.5926,-1737.63,-176121,70212.8,36550.7,894.407,927.357,0,70.3287,151.548,-1636.62,-127656,-66855.9,-103957,251.15,904,0,0.00116372,-0.00113645,-0.00102629,-6.57701e-06,-0.000958141,-0.00195605,0.00100196,-0.000424541
795,2,-21.0013,15.9822,-1736.41,-177939,69994.3,35715.8,894.31,928.475,0,70.6339,151.701,-1636.32,-127683,-66526.6,-103606,251.344,904.031,0,-1.08708e-06,-0.00091336,0.000760112,-0.000398874,-0.00126751,0.000963767,0.00075067,-0.00123398
795,3,-20.3909,16.44,-1736.72,-176691,70079.5,36874.4,894.352,927.739,0,70.6339,150.938,-1636.62,-128144,-66611.8,-103393,251.299,904.298,0,0.000267494,0.000427198,0.000466183,0.000320085,0.000396517,0.000314135,0.00032564,0.000366599
795,4,-20.5435,16.1348,-1736.72,-176935,69957.4,36409.4,894.281,927.879,0,70.1761,151.701,-1636.93,-127141,-66452.8,-104379,251.404,903.67,0,0.000412528,0.000166674,0.000383258,0.000398981,0.000442679,0.00030826,0.000395303,0.000142334
795,5,-20.8487,16.1348,-1737.02,-176908,70408.8,36382.3,894.534,927.846,0,70.6339,151.548,-1636.01,-128931,-67296,-103197,250.866,904.808,0,0.000470945,0.000367942,0.00035875,0.000323107,0.000346493,0.000340825,0.000383889,0.000435591
795,6,-20.6961,16.1348,-1736.72,-177668,69469.1,35907.6,894,928.301,0,70.6339,151.243,-1635.71,-127982,-66844.6,-103601,251.134,904.242,0,0.000594492,0.000437606,0.000466854,0.000342747,0.000371673,0.000385477,0.000484271,0.000500387
795,7,-20.8487,16.2874,-1736.72,-176203,70445.7,36302.8,894.563,927.457,0,70.6339,151.243,-1637.23,-126625,-67148.2,-103234,250.987,903.341,0,0.00316532,0.00479836,0.00381691,0.00371361,0.00355839,0.00367325,0.00325268,0.00485342
795,8,-20.2383,15.677,-1736.72,-176691,70323.6,36797.2,894.492,927.739,0,70.1761,151.548,-1636.62,-126679,-66123.5,-103726,251.598,903.403,0,0.00359807,0.0037744,0.00495838,0.00385076,0.00390151,0.00371387,0.00384238,0.00341349
795,9,-20.5435,16.2874,-1736.72,-176691,70201.5,36207.9,894.422,927.739,0,71.2442,151.243,-1636.62,-127168,-66733.8,-102814,251.225,903.701,0,0.00187848,0.00181409,0.00129744,0.00257953,0.00147521,0.00172906,0.00164773,0.00155222
796,0,-20.3909,15.9822,-1736.72,-177668,69957.4,36624.6,894.281,928.301,0,70.3287,151.243,-1636.93,-126652,-67307.2,-103506,250.882,903.372,0,-0.000898821,-8.91499e-05,0.00051436,-0.000429257,-0.00130646,0.00138846,0.000484103,-0.000946093
796,1,-20.2383,16.44,-1735.8,-177993,69946.1,36765.9,894.296,928.542,0,70.4813,151.853,-1637.23,-126625,-66660,-103540,251.285,903.341,0,-0.00127551,0.00087254,9.78902e-05,-0.000485491,-0.00016868,-0.000124996,-0.000994774,0.000352667
796,2,-20.5435,15.9822,-1736.11,-177966,70275.4,36122.7,894.479,928.509,0,69.7183,151.548,-1636.93,-127385,-67307.2,-104256,250.882,903.819,0,-0.00037408,-0.00061792,-0.000264527,-0.000281202,-0.000379012,-0.000305449,-0.000300658,-0.000356053
796,3,-20.3909,15.9822,-1735.8,-177749,69946.1,36868.7,894.296,928.402,0,70.4813,151.243,-1635.71,-127005,-66722.5,-103248,251.209,903.645,0,-0.000211756,-0.000225119,-4.04293e-05,-0.000211203,-0.000234818,-0.000217656,-0.000141188,-0.000210515
796,4,-20.3909,16.5926,-1735.8,-177017,69457.8,36672.8,894.015,927.98,0,70.4813,151.091,-1636.93,-127141,-66819,-103450,251.18,903.67,0,-0.000241132,-0.000247613,-0.000296925,-0.000261562,-0.000214842,-0.000185259,-0.000336917,-0.000125408
796,5,-20.8487,16.8977,-1736.72,-177668,69957.4,36228.9,894.281,928.301,0,70.4813,151.701,-1636.93,-126896,-67185.2,-102765,250.957,903.521,0,-0.00550264,-0.00524491,-0.00515254,-0.00516401,-0.00509044,-0.0050115,-0.0054675,-0.00491909
796,6,-20.8487,16.8977,-1736.41,-176962,69872.2,36351,894.24,927.913,0,70.1761,151.701,-1636.62,-127656,-66489.7,-103891,251.374,904,0,-0.00290227,-0.00292084,-0.00275294,-0.00272563,-0.00274908,-0.00390629,-0.00299168,-0.00273686
796,7,-20.5435,15.8296,-1736.72,-177912,70201.5,35958.1,894.422,928.441,0,70.1761,151.396,-1636.93,-127873,-67063.1,-103928,251.031,904.118,0,-0.00319855,-0.00331767,-0.00323789,-0.00455081,-0.00341314,-0.0034037,-0.00327587,-0.00323139
796,8,-20.5435,15.9822,-1737.33,-175904,69761.5,36366.9,894.155,927.25,0,70.3287,151.396,-1636.32,-127683,-66770.7,-103548,251.195,904.031,0,0.000134211,-0.000639071,-0.00130713,-0.000424893,0.00111564,-0.00152112,-0.000168214,-0.000182482
796,9,-20.6961,16.2874,-1736.41,-177939,69872.2,36072.2,894.24,928.475,0,70.4813,151.701,-1637.54,-127330,-66867.2,-103132,251.166,903.757,0,9.02306e-05,-0.000869211,0.000787809,-0.000340122,-0.00117116,0.000802618,0.00111678,-0.00103456
797,0,-20.6961,16.1348,-1736.72,-177179,70079.5,36273.8,894.352,928.02,0,70.4813,151.396,-1635.4,-128741,-66027,-103779,251.626,904.721,0,-0.00013991,0.000237512,0.00013566,9.26303e-05,7.53939e-05,8.5673e-05,-9.60329e-05,0.000404537
797,1,-20.8487,16.1348,-1736.11,-177478,69909.2,36138.1,894.268,928.228,0,70.6339,151.548,-1637.84,-127547,-67074.4,-103564,251.047,903.875,0,0.000229222,0.00035636,0.000276665,0.000500874,0.000494717,0.000366509,0.000472017,0.000415616
797,2,-20.3909,16.7451,-1736.11,-177234,70153.3,36715.4,894.408,928.087,0,70.4813,151.853,-1637.23,-126869,-66782,-103662,251.21,903.49,0,0.000306607,0.000467485,0.000430763,0.000459412,0.000225128,0.000567945,0.000464127,0.000433241
797,3,-20.8487,16.1348,-1735.19,-178048,69775.8,36138.1,894.212,928.61,0,69.8709,151.396,-1636.93,-128117,-66086.5,-104321,251.628,904.267,0,0.00294827,0.00296915,0.00250975,0.00236634,0.00255423,0.00223819,0.00342507,0.00398758
797,4,-20.3909,16.2874,-1737.02,-176908,70408.8,36953.9,894.534,927.846,0,70.4813,151.091,-1637.84,-126815,-67562.7,-103205,250.749,903.428,0,0.00527788,0.00510337,0.0045414,0.004305,0.00432738,0.0040313,0.00493769,0.00530044
797,5,-20.2383,16.2874,-1736.11,-177478,69787.1,36601.3,894.198,928.228,0,70.4813,150.785,-1636.93,-127385,-66941,-103731,251.106,903.819,0,0.00443957,0.00376181,0.00358895,0.00339518,0.00302039,0.0039472,0.00443813,0.00367418
797,6,-20.2383,16.44,-1736.72,-177668,69835.3,36643.8,894.211,928.301,0,70.4813,151.396,-1637.84,-127059,-67196.5,-103291,250.973,903.577,0,0.000426629,-0.000889355,0.00182756,0.00106657,-0.000619897,0.00114758,0.000301636,-0.000989066
797,7,-20.3909,15.9822,-1736.72,-177912,69835.3,36136.3,894.211,928.441,0,70.0235,152.006,-1636.93,-126164,-67063.1,-103868,251.031,903.074,0,0.000520633,-0.000719645,-0.00058565,0.0019638,-0.000952266,-4.9625e-05,0.000578275,-0.000872233
797,8,-20.0858,15.8296,-1736.41,-176718,69994.3,36975.4,894.31,927.772,0,70.4813,151.548,-1636.93,-126896,-67063.1,-103455,251.031,903.521,0,-0.000329092,-0.000332384,-0.000398146,-0.000263408,-0.000841309,-0.000283291,-0.000358907,-0.000391304
797,9,-20.3909,16.44,-1737.02,-177152,70286.7,36874.4,894.464,927.986,0,70.3287,151.243,-1637.23,-125160,-67026.2,-103628,251.061,902.446,0,-5.66499e-05,-0.000229652,-0.000282488,-0.000541894,-2.53242e-05,-0.000254586,-0.000185168,-0.000232505
798,0,-20.5435,16.2874,-1736.72,-177423,69957.4,36696.2,894.281,928.16,0,71.2442,151.243,-1636.93,-126896,-66819,-102814,251.18,903.521,0,-0.000184898,-0.000188693,-0.00016062,-0.000289595,-0.000214171,-0.000255593,-0.000227638,-0.000278836
798,1,-21.6116,15.9822,-1736.41,-177939,70238.5,35783.5,894.45,928.475,0,70.4813,151.701,-1636.93,-126896,-66819,-103132,251.18,903.521,0,-0.000308277,-0.000484133,-0.000473349,-0.00033475,-0.000358869,-0.000345233,-0.000286054,-0.000389793
798,2,-20.5435,16.2874,-1735.8,-177993,69702,36574.1,894.156,928.542,0,70.3287,151.548,-1636.93,-127141,-66819,-103835,251.18,903.67,0,-0.0045799,-0.0036727,-0.00372789,-0.00366113,-0.00369801,-0.00374782,-0.00411922,-0.00419945
798,3,-20.6961,16.1348,-1736.41,-176718,70116.4,35663.4,894.38,927.772,0,70.3287,151.853,-1636.62,-126435,-66611.8,-103676,251.299,903.254,0,-0.00377281,-0.00374136,-0.00483293,-0.00373063,-0.0039117,-0.0037814,-0.00375697,-0.00391291
798,4,-20.5435,16.44,-1737.02,-176664,69676.3,36494.6,894.113,927.705,0,70.939,151.396,-1636.93,-127873,-67185.2,-103738,250.957,904.118,0,-0.00196324,-0.00181798,-0.00163631,-0.00181883,-0.00202391,-0.000838751,-0.00204308,-0.00163014
798,5,-21.0013,16.1348,-1736.41,-176962,70360.5,36368.7,894.521,927.913,0,70.0235,151.396,-1636.62,-127412,-66855.9,-104064,251.15,903.851,0,0.00143498,-0.00145959,-9.39777e-05,0.000139632,-0.000861956,-0.00109827,0.00156766,-0.000977315
798,6,-20.6961,16.1348,-1736.72,-176691,69957.4,36029.7,894.281,927.739,0,70.6339,151.701,-1636.93,-125920,-66941,-102752,251.106,902.925,0,-0.00106047,0.00149447,0.000396351,-0.000198277,0.00044419,0.00014879,-0.000399362,0.000895537
798,7,-20.8487,16.2874,-1735.8,-177749,70190.2,36302.8,894.437,928.402,0,70.1761,151.548,-1637.23,-126869,-66904.1,-103604,251.136,903.49,0,0.000315168,0.000660864,0.000540043,0.000571713,0.000456276,0.000449265,0.000510626,0.000486118
798,8,-20.8487,15.9822,-1736.72,-176447,70323.6,36339.7,894.492,927.598,0,70.6339,151.091,-1636.62,-127412,-67222.1,-103924,250.926,903.851,0,0.000300228,0.000339406,0.000274818,0.000314042,0.000308556,0.000188405,0.000390435,0.000168185
798,9,-20.6961,16.2874,-1737.02,-176176,70775,35950.2,894.745,927.424,0,70.6339,151.548,-1636.32,-126951,-67014.9,-103075,251.045,903.583,0,0.000411689,0.000339741,0.000316616,0.000393609,2.63778e-05,0.00058557,0.000430387,0.000358878
799,0,-20.6961,16.1348,-1736.72,-177179,70079.5,36640,894.352,928.02,0,71.0916,151.396,-1636.93,-127141,-67063.1,-102992,251.031,903.67,0,0.00546925,0.00534694,0.00520379,0.00523664,0.00473025,0.00550347,0.00526049,0.00511193
799,1,-20.2383,16.2874,-1736.11,-176257,69909.2,36723.3,894.268,927.524,0,70.4813,151.853,-1637.23,-128090,-67148.2,-102930,250.987,904.236,0,0.00273475,0.00274388,0.00254282,0.00375273,0.00293713,0.0027866,0.00274741,0.00263947
799,2,-20.6961,16.44,-1736.41,-177939,69750.2,36481,894.169,928.475,0,70.0235,151.243,-1636.32,-127439,-66892.8,-103289,251.12,903.882,0,0.00308575,0.00279407,0.004088,0.00397363,0.00345801,0.00326131,0.00333359,0.00303915
799,3,-20.6961,16.2874,-1736.11,-178943,69787.1,36560.5,894.198,929.071,0,70.4813,151.243,-1636.32,-128416,-66648.7,-103736,251.269,904.478,0,0.000266319,-0.000930817,0.000534167,0.00169992,-0.000894521,0.000574995,0.000417294,-0.000508976
799,4,-20.2383,16.1348,-1736.72,-177912,69835.3,36558.7,894.211,928.441,0,70.0235,151.396,-1637.23,-126381,-66782,-103942,251.21,903.192,0,-0.000983424,-6.66562e-05,0.000505798,-0.000529136,-0.00114867,0.00149959,0.000112789,-0.000917556
799,5,-20.5435,15.9822,-1737.02,-177640,70164.6,36488.9,894.394,928.267,0,69.7183,151.091,-1636.32,-127927,-66526.6,-103640,251.344,904.18,0,-0.000398756,9.85215e-05,-0.000121004,-9.95734e-05,-9.12945e-05,-0.000151518,-6.72952e-06,-3.62729e-05
799,6,-21.1539,16.2874,-1736.72,-176691,69469.1,35665.3,894,927.739,0,70.3287,151.243,-1636.62,-126679,-66733.8,-103262,251.225,903.403,0,-0.000389187,-0.000227973,-0.000299275,-0.000199116,-0.000214338,-0.00030931,-0.000283704,-0.0002738
799,7,-20.8487,16.1348,-1737.33,-177613,70005.6,36016.1,894.295,928.234,0,70.1761,150.938,-1636.93,-127385,-67063.1,-103678,251.031,903.819,0,-0.000277894,-0.000319794,-0.000308339,-0.000298492,-0.000388916,-0.000202381,-0.000271786,-0.000351688
799,8,-21.1539,16.2874,-1736.11,-177722,70153.3,35543.2,894.408,928.368,0,70.6339,151.396,-1637.23,-126381,-67026.2,-103765,251.061,903.192,0,-0.00153637,-0.00163618,-0.00175599,-0.00196403,-0.00227671,-0.00344852,-0.00245921,-0.00253106
799,9,-20.8487,16.1348,-1737.33,-176637,69517.3,36382.3,894.014,927.672,0,70.6339,151.548,-1636.93,-127385,-67307.2,-102831,250.882,903.819,0,-0.00447901,-0.00438377,-0.00435737,-0.00441249,-0.00454992,-0.00523174,-0.00444705,-0.00431142
800,0,-20.3909,16.2874,-1736.72,-176691,70079.5,36587.7,894.352,927.739,0,70.4813,151.701,-1636.62,-128388,-67222.1,-103376,250.926,904.447,0,-0.00345706,-0.00352213,-0.00407385,-0.00389782,-0.0036646,-0.00342284,-0.0033086,-0.00343265
800,1,-20.8487,16.1348,-1736.41,-177939,69750.2,36382.3,894.169,928.475,0,70.1761,151.548,-1638.15,-127276,-67159.5,-103360,251.003,903.695,0,-0.00173008,0.0014421,-0.00133684,-0.000948123,-4.34534e-05,-0.00161311,-0.000471879,0.00103184
800,2,-20.2383,16.44,-1736.11,-177478,70397.5,36643.8,894.549,928.228,0,70.3287,151.396,-1636.01,-128443,-66929.7,-103426,251.09,904.51,0,-0.00078736,0.00178001,-0.000948235,-0.000267605,0.000491192,-0.000819111,-0.00085914,0.00194687
800,3,-20.3909,16.2874,-1736.41,-177206,69994.3,36587.7,894.31,928.053,0,70.0235,151.091,-1636.01,-127954,-66807.7,-103612,251.164,904.211,0,0.000364687,0.000374489,0.000296305,0.000313035,0.000241411,0.000478473,0.000389596,0.000321444
800,4,-21.0013,15.9822,-1736.11,-177478,69787.1,35837.9,894.198,928.228,0,70.1761,151.548,-1636.01,-128443,-66807.7,-103971,251.164,904.51,0,0.000517947,0.000406215,0.000304866,0.000371787,0.00023755,0.000183202,0.000521033,0.000468996
800,5,-20.5435,15.677,-1737.33,-176393,70860.1,36159.7,894.787,927.531,0,70.3287,151.396,-1636.01,-127954,-66807.7,-103304,251.164,904.211,0,0.000117089,0.00025816,0.000307887,0.000279798,0.000286902,0.000336293,0.000166841,0.000488804
800,6,-20.3909,16.1348,-1735.8,-178726,69702,36545.1,894.156,928.964,0,70.6339,151.243,-1636.62,-126924,-66855.9,-102990,251.15,903.552,0,0.000399099,0.000211494,0.000540882,0.000485431,0.000376037,0.000469577,0.000380867,0.000329837
800,7,-21.0013,16.2874,-1736.72,-176691,70201.5,36411.3,894.422,927.739,0,70.4813,150.938,-1637.54,-127819,-66867.2,-103529,251.166,904.055,0,0.00350222,0.00352109,0.00364182,0.00315228,0.00475476,0.00389567,0.00385917,0.00360166
800,8,-20.0858,16.44,-1735.8,-177993,69702,36779.5,894.156,928.542,0,70.3287,151.091,-1636.01,-128199,-66563.5,-104073,251.314,904.36,0,0.00380354,0.00372185,0.00349545,0.00359846,0.00310701,0.00457485,0.00437333,0.00398506
800,9,-20.2383,16.1348,-1737.94,-175850,70542.1,36680.8,894.59,927.183,0,70.939,151.243,-1637.54,-126842,-67355.5,-103085,250.868,903.459,0,0.00232567,0.00187284,0.00164173,0.00164453,0.00151784,0.00154558,0.00245499,0.00128867
801,0,-20.5435,15.8296,-1735.8,-177749,69579.9,36202.2,894.085,928.402,0,70.4813,151.548,-1636.62,-128144,-66367.6,-103455,251.448,904.298,0,0.00106485,0.000914841,-0.0010795,0.000490802,-0.00012856,-0.00106788,0.000358877,0.00153157
801,1,-20.5435,16.1348,-1736.72,-177912,70201.5,36287.4,894.422,928.441,0,70.4813,151.396,-1636.93,-126896,-66696.9,-103168,251.255,903.521,0,-0.00104956,0.000286864,0.000843036,-0.000942584,0.00011736,-0.000260294,-0.000526771,-0.000498233
801,2,-20.6961,16.1348,-1736.41,-176962,70116.4,36395.9,894.38,927.913,0,70.1761,151.548,-1636.93,-128361,-66819,-103726,251.18,904.416,0,-0.000233746,-0.000117015,-0.000191842,-0.000245615,-0.000342754,-0.000432018,-6.61532e-05,-0.000361257
801,3,-20.6961,15.8296,-1736.41,-178427,69750.2,36310.7,894.169,928.756,0,69.8709,151.548,-1637.54,-126354,-66989.2,-104120,251.092,903.161,0,-0.000366358,-0.000173082,-0.00010321,-0.000154465,-0.000267215,-0.000160583,-0.000441832,-0.000175096
801,4,-20.6961,16.1348,-1736.72,-178400,70567.8,36517.9,894.633,928.723,0,70.4813,151.396,-1636.32,-127439,-66648.7,-103901,251.269,903.882,0,-0.000222667,-0.000282696,-0.000273256,-0.000224464,-0.00015525,-0.000262308,-0.00012373,-0.000260035
801,5,-20.6961,16.2874,-1736.72,-177179,69591.2,36682.6,894.071,928.02,0,70.0235,151.396,-1637.54,-126598,-66989.2,-104430,251.092,903.31,0,-0.00550264,-0.0054633,-0.00547182,-0.00551552,-0.00546125,-0.00527337,-0.00514889,-0.00520227
801,6,-19.7806,16.44,-1736.41,-176718,69994.3,37050.8,894.31,927.772,0,70.7864,151.243,-1636.93,-128117,-66941,-103221,251.106,904.267,0,-0.0026441,-0.00260844,-0.0028696,-0.003549,-0.00300843,-0.0027116,-0.00264655,-0.00253458
801,7,-20.8487,16.2874,-1736.72,-177912,70201.5,36180.7,894.422,928.441,0,70.4813,151.396,-1636.62,-127900,-66978,-103657,251.076,904.149,0,-0.00331891,-0.00318203,-0.00327818,-0.0047509,-0.00336749,-0.00333958,-0.00318674,-0.00320184
801,8,-20.5435,15.8296,-1736.11,-177722,69665,36446.4,894.127,928.368,0,70.4813,151.243,-1636.62,-128388,-66978,-103492,251.076,904.447,0,-0.00126124,-0.000642764,2.20805e-06,-0.000947284,-0.00172058,0.00110511,-0.00048749,-0.00123599
801,9,-20.6961,15.9822,-1736.11,-177966,69787.1,36597.4,894.198,928.509,0,70.6339,151.396,-1636.93,-127873,-66819,-103277,251.18,904.118,0,-0.00078501,-0.000804584,0.00183242,-0.000719997,-0.00031791,0.000610078,-0.000448043,-0.00127494
802,0,-20.3909,16.44,-1736.72,-177423,70079.5,36996.5,894.352,928.16,0,70.1761,151.243,-1637.54,-126598,-66989.2,-104008,251.092,903.31,0,8.60341e-05,0.000174731,0.000168896,0.000197545,0.000287573,0.000187734,0.000131086,9.5332e-05
802,1,-20.6961,16.8977,-1736.11,-177966,70031.2,36608.7,894.338,928.509,0,70.939,151.396,-1637.23,-125893,-66782,-103006,251.21,902.894,0,0.000458859,0.000386743,0.000354721,0.000429364,0.000391481,0.000265623,0.000585996,0.000396815
802,2,-19.9332,16.44,-1736.72,-177423,70201.5,37159.3,894.422,928.16,0,70.0235,151.243,-1636.62,-128144,-66611.8,-104021,251.299,904.298,0,0.000269509,0.000476214,0.000350357,0.000453872,0.000336086,0.000401424,0.000289046,0.000556285
802,3,-20.8487,15.9822,-1737.02,-177152,69920.5,36461.8,894.253,927.986,0,70.1761,151.091,-1636.93,-126896,-66819,-104087,251.18,903.521,0,0.00147427,0.00335507,0.00267157,0.00248955,0.00249347,0.00277434,0.00221746,0.00409535
802,4,-20.8487,16.44,-1736.41,-176230,69994.3,36223.3,894.31,927.491,0,70.0235,151.396,-1636.93,-127385,-66819,-103575,251.18,903.819,0,0.00499856,0.00462697,0.00436934,0.00430617,0.00394314,0.00511621,0.00528903,0.00447338
802,5,-20.2383,15.9822,-1736.41,-177206,70238.5,36882.3,894.45,928.053,0,70.0235,151.701,-1636.62,-126435,-66978,-104149,251.076,903.254,0,0.00364256,0.00351605,0.00331617,0.0037779,0.00459025,0.00370498,0.00349725,0.00343044
802,6,-21.0013,16.1348,-1735.5,-178020,70227.2,36124.6,894.465,928.576,0,70.4813,151.243,-1636.93,-126408,-67063.1,-103248,251.031,903.223,0,-0.000664148,0.00114767,0.0004405,-0.00107033,0.00195546,0.00101664,-0.000517706,0.00123764
802,7,-20.6961,16.2874,-1736.72,-176447,70079.5,36560.5,894.352,927.598,0,70.1761,151.243,-1636.62,-126924,-66489.7,-103153,251.374,903.552,0,-0.000447268,-0.00128501,0.00127092,0.000628618,-0.00122639,0.000753434,-6.96783e-05,-0.0011994
802,8,-20.3909,16.2874,-1736.11,-178210,69909.2,36221.5,894.268,928.649,0,70.3287,151.396,-1636.62,-127168,-66978,-103182,251.076,903.701,0,-0.000324056,-0.000282529,-0.000726487,-0.000207342,-0.000329157,-0.00036823,-0.000413798,-0.000285718
