

Model Outputs
100
,,C02:LAbsAnkleAngle,,,C02:LAnkleAngles,,,C02:LAnkleForce,,,C02:LAnkleMoment,,,C02:LAnklePower,,,C02:LFE,,,,,,,,,C02:LFO,,,,,,,,,C02:LFootProgressAngles,,,C02:LHipAngles,,,C02:LHipForce,,,C02:LHipMoment,,,C02:LHipPower,,,C02:LKneeAngles,,,C02:LKneeForce,,,C02:LKneeMoment,,,C02:LKneePower,,,C02:LPelvisAngles,,,C02:LTI,,,,,,,,,C02:LTO,,,,,,,,,C02:PEL,,,,,,,,,C02:RAbsAnkleAngle,,,C02:RAnkleAngles,,,C02:RAnkleForce,,,C02:RAnkleMoment,,,C02:RAnklePower,,,C02:RFE,,,,,,,,,C02:RFO,,,,,,,,,C02:RFootProgressAngles,,,C02:RHipAngles,,,C02:RHipForce,,,C02:RHipMoment,,,C02:RHipPower,,,C02:RKneeAngles,,,C02:RKneeForce,,,C02:RKneeMoment,,,C02:RKneePower,,,C02:RPelvisAngles,,,C02:RTI,,,,,,,,,C02:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
603,0,14.3604,0,0,14.3616,-0.410036,0.737498,,,,,,,,,,1.32131,21.1206,6.41257,-929.109,-303.51,459.32,432.987,432.987,432.987,-1.40269,-80.5754,3.67963,-935.36,-309.922,64.9686,217.563,217.563,217.563,-80.5683,3.41538,-1.20421,-2.06692,-2.27613,0.244636,,,,,,,,,,2.97894,3.19705,5.38126,,,,,,,,,,18.8289,-1.89433,-6.83072,-3.10843,23.7733,1.82326,-1084.99,-326.457,105.01,366.765,366.765,366.765,-1.40268,-80.5754,3.67962,-863.835,-308.397,53.087,72.5211,72.5211,72.5211,-0.752782,18.9177,7.07976,-765.518,-364.278,862.698,120.607,120.607,120.607,12.378,0,0,12.5075,1.02386,-8.18945,,,,,,,,,,-1.77788,-22.3344,-10.0695,-600.99,-450.855,475.01,418.779,418.779,418.779,-8.15023,-120.106,-11.6427,-347.378,-490.873,169.36,213.92,213.92,213.92,-120.714,-1.09813,-11.6863,40.4508,-6.68004,-15.9234,,,,,,,,,,4.54773,3.63744,6.30049,,,,,,,,,,18.8289,1.89433,6.83072,1.22499,-18.1875,-3.29179,-479.763,-446.212,106.595,366.874,366.874,366.874,-8.15022,-120.105,-11.6427,-287.344,-505.316,205.025,71.3066,71.3066,71.3066
604,0,14.3643,0,0,14.365,-0.378836,0.574618,,,,,,,,,,1.36332,21.726,6.06976,-917.84,-304.536,458.527,433.305,433.305,433.305,-1.5034,-79.1512,3.33835,-934.133,-310.144,64.0146,217.563,217.563,217.563,-79.1503,3.25679,-0.893082,-2.70543,-2.54636,0.439704,,,,,,,,,,3.77013,2.95541,5.481,,,,,,,,,,18.7748,-2.02245,-6.72826,-2.94536,25.2,1.38961,-1082.82,-325.884,107.726,367.246,367.246,367.246,-1.50341,-79.1512,3.33834,-862.917,-309.013,50.3653,72.5211,72.5211,72.5211,-0.899805,18.87,6.99859,-749.918,-365.849,860.69,120.607,120.607,120.607,12.9817,0,0,13.0525,0.635342,-5.91738,,,,,,,,,,-0.955283,-23.0815,-12.7287,-580.985,-450.791,476.078,417.695,417.695,417.695,-8.10742,-120.671,-11.9454,-327.838,-489.152,171.188,213.92,213.92,213.92,-121.288,-1.0012,-11.8584,41.153,-6.37608,-18.6157,,,,,,,,,,5.42144,3.35297,6.59651,,,,,,,,,,18.7748,2.02245,6.72826,1.91503,-18.1624,-5.66195,-459.489,-444.076,107.187,367.443,367.442,367.442,-8.10743,-120.671,-11.9454,-268.202,-503.805,207.43,71.3066,71.3066,71.3066
605,0,14.2301,0,0,14.2303,-0.329597,0.31755,-0.157769,0.0083022,-0.0015538,-4.53936,4.11432e-15,-3.14975,0,0,-0.00283191,1.40971,22.2905,5.56266,-905.977,-305.49,457.82,433.675,433.675,433.675,-1.68732,-77.5287,2.93538,-932.873,-310.334,62.9961,217.563,217.563,217.563,-77.5362,3.09574,-0.483618,-3.31765,-2.87637,0.724428,0.08429,0.026366,1.98126,-68.6512,97.7921,-6.43276,0,0,-0.00704054,4.65829,2.73355,5.61073,-0.0430265,0.0701234,0.775404,-31.463,21.9762,-3.03395,0,0,0.0567387,18.7032,-2.17853,-6.56123,-2.80346,26.6844,0.765171,-1080.38,-325.013,110.865,367.814,367.814,367.814,-1.68732,-77.5287,2.93539,-862.064,-309.722,47.345,72.5211,72.5211,72.5212,-1.08607,18.8052,6.85764,-734.056,-367.668,858.934,120.607,120.607,120.607,13.615,0,0,13.6641,0.447081,-4.80911,-0.111238,-0.0927343,-0.533027,14.8336,-2.46859e-15,12.7938,0,0,-0.0288426,-0.324796,-23.6476,-13.6865,-561.616,-449.967,477.047,416.663,416.663,416.663,-8.2911,-120.653,-12.3608,-312.313,-487.459,170.133,213.92,213.92,213.92,-121.302,-0.966902,-12.2309,41.7339,-5.85191,-19.5986,-1.36038,0.0660248,1.49101,1329.49,25.621,-22.9583,0,0,-0.644919,6.60899,2.88968,6.16999,-1.55193,0.0926515,0.345009,-543.257,12.3406,12.252,0,0,1.1894,18.7032,2.17853,6.56123,2.37206,-17.5362,-7.08197,-443.701,-441.444,106.259,368.179,368.179,368.179,-8.29108,-120.653,-12.3608,-252.768,-502.565,206.34,71.3066,71.3066,71.3066
606,0,13.9474,0,0,13.9474,-0.275905,0.0372146,-0.160811,0.00752016,0.010319,-3.61573,5.1429e-16,-2.46677,0,0,-0.00313256,1.47714,22.7969,4.94447,-893.394,-306.317,457.148,434.098,434.098,434.098,-1.94995,-75.6933,2.48065,-931.503,-310.482,61.9174,217.563,217.563,217.563,-75.7113,2.93069,0.0160634,-3.88694,-3.2692,1.06188,0.180397,0.0556958,2.01263,-128.784,105.997,-5.43797,0,0,-0.0387834,5.6691,2.55229,5.75128,0.018425,0.0798347,0.802264,-21.2588,20.5286,-2.37769,0,0,0.0416107,18.6139,-2.35978,-6.3478,-2.68177,28.2322,0.0293554,-1077.54,-323.857,114.453,368.432,368.432,368.432,-1.94995,-75.6933,2.48065,-861.225,-310.502,44.0186,72.5211,72.5211,72.5211,-1.30569,18.7229,6.67429,-717.908,-369.741,857.428,120.607,120.607,120.607,14.2193,0,0,14.269,0.434882,-4.73717,-0.115381,-0.0765696,-0.41903,11.2962,1.2343e-15,5.83055,0,0,-0.00632146,0.102436,-23.9989,-13.0838,-543.146,-448.427,477.617,415.812,415.812,415.812,-8.5923,-120.134,-12.7909,-300.314,-485.669,166.475,213.92,213.92,213.92,-120.823,-0.958459,-12.6865,42.1347,-5.11931,-19.0271,-1.35878,-0.145179,1.46258,1241.34,87.913,-21.0894,0,0,-0.0293402,7.95942,2.33609,5.13351,-1.39887,-0.0287951,0.339142,-441.825,24.5561,5.50458,0,0,0.995289,18.6139,2.35978,6.3478,2.57847,-16.4481,-7.56632,-431.915,-438.501,103.893,369.052,369.052,369.052,-8.5923,-120.134,-12.7908,-240.575,-501.329,202.12,71.3066,71.3066,71.3066
607,0,13.4998,0,0,13.4998,-0.234937,-0.176685,-0.162502,0.005174,0.0268367,-2.13969,-4.01146e-15,-1.60718,0,0,-0.00226605,1.58228,23.2216,4.27042,-879.938,-306.958,456.439,434.57,434.57,434.57,-2.28286,-73.6243,1.98837,-929.922,-310.584,60.7622,217.563,217.563,217.563,-73.6543,2.76043,0.592753,-4.38767,-3.72618,1.41635,0.363928,0.0929793,2.02083,-228.311,110.778,-3.82544,0,0,-0.08118,6.83345,2.43165,5.86264,0.104615,0.0863355,0.835399,-4.45443,17.9239,-1.55268,0,0,0.00748341,18.5092,-2.56299,-6.10811,-2.57283,29.8493,-0.714413,-1074.11,-322.447,118.503,369.058,369.058,369.058,-2.28287,-73.6243,1.98838,-860.336,-311.334,40.3535,72.5211,72.5211,72.5211,-1.55192,18.6251,6.46787,-701.462,-372.058,856.165,120.607,120.607,120.607,14.6839,0,0,14.7547,0.572906,-5.55028,-0.125937,-0.0655069,-0.285311,7.37221,2.41716e-15,-0.241242,0,0,-0.00417469,0.30155,-24.0923,-11.0587,-525.949,-446.41,477.51,415.225,415.225,415.225,-8.86178,-119.195,-13.1305,-291.155,-483.705,160.721,213.92,213.92,213.92,-119.913,-0.912665,-13.0874,42.2852,-4.22124,-17.0467,-1.33098,-0.41278,1.46567,1107.51,180.034,-20.4999,0,0,0.450972,9.29303,1.86232,3.60777,-1.21294,-0.176466,0.386355,-328.531,39.6307,-0.343638,0,0,0.639867,18.5092,2.56299,6.10811,2.56119,-15.0813,-7.11982,-423.452,-435.534,100.413,369.93,369.93,369.93,-8.86178,-119.195,-13.1305,-230.953,-499.851,195.357,71.3066,71.3066,71.3066
608,0,12.8597,0,0,12.8599,-0.22561,-0.225381,-0.163417,0.00170506,0.0430342,-0.142192,4.34575e-15,-0.511701,0,0,-7.27444e-05,1.73919,23.5375,3.58945,-865.444,-307.359,455.619,435.077,435.077,435.077,-2.67577,-71.2923,1.47833,-928.021,-310.647,59.4903,217.563,217.563,217.563,-71.3357,2.58656,1.22902,-4.78789,-4.24544,1.75927,0.503813,0.136016,2.0306,-318.688,110.546,-1.62734,0,0,-0.0761218,8.18171,2.38951,5.88627,0.185286,0.0866797,0.87135,11.9445,13.102,-0.49819,0,0,-0.034249,18.394,-2.78373,-5.86134,-2.4625,31.5386,-1.34976,-1069.89,-320.838,123.018,369.644,369.644,369.644,-2.67577,-71.2923,1.47834,-859.33,-312.202,36.2872,72.5211,72.5211,72.5212,-1.81683,18.5166,6.25663,-684.732,-374.593,855.136,120.607,120.607,120.607,14.8715,0,0,14.9906,0.844817,-7.14521,-0.14127,-0.0622631,-0.154215,3.14528,-2.05716e-15,-4.25755,0,0,-0.0140337,0.240029,-23.8797,-7.71596,-510.466,-444.294,476.508,414.918,414.918,414.918,-8.95382,-117.908,-13.3019,-284.065,-481.578,153.478,213.92,213.92,213.92,-118.622,-0.760868,-13.3132,42.1147,-3.22442,-13.7599,-1.28588,-0.733858,1.56465,953.473,313.763,-23.0332,0,0,0.7017,10.4054,1.65568,1.72847,-1.01564,-0.34772,0.478619,-223.364,63.2896,-4.17062,0,0,0.276091,18.394,2.78373,5.86134,2.37356,-13.6331,-5.7094,-417.545,-432.872,96.2856,370.578,370.578,370.578,-8.95378,-117.908,-13.3019,-223.154,-497.998,186.718,71.3066,71.3066,71.3066
609,0,11.9847,0,0,11.9848,-0.265347,-0.01791,-0.163776,-0.00181005,0.0561784,2.22893,-7.20006e-16,0.961146,0,0,0.0034208,1.95679,23.7171,2.93767,-849.759,-307.472,454.616,435.596,435.596,435.596,-3.11777,-68.6578,0.977864,-925.701,-310.687,58.0417,217.563,217.563,217.563,-68.7153,2.41613,1.90337,-5.05276,-4.82071,2.07375,0.626937,0.180233,2.02832,-400.288,105.186,1.45452,0,0,-0.0164591,9.73893,2.44017,5.75553,0.255646,0.080628,0.908881,26.6939,6.26773,0.929943,0,0,-0.0795832,18.2757,-3.01594,-5.62316,-2.33193,33.2977,-1.76514,-1064.63,-319.1,127.991,370.139,370.139,370.139,-3.11777,-68.6578,0.977859,-858.164,-313.096,31.7309,72.5211,72.5211,72.5211,-2.09145,18.4048,6.05512,-667.753,-377.3,854.33,120.607,120.607,120.607,14.6581,0,0,14.8657,1.24619,-9.47838,-0.159151,-0.0667957,-0.0461994,-1.46666,-3.29145e-15,-5.64819,0,0,-0.0262979,-0.102049,-23.3249,-3.18155,-497.063,-442.578,474.52,414.852,414.852,414.852,-8.76908,-116.326,-13.2637,-278.316,-479.397,145.33,213.92,213.92,213.92,-116.989,-0.45769,-13.2829,41.5748,-2.21613,-9.28119,-1.14067,-1.05842,1.71495,770.265,478.109,-28.0414,0,0,0.668211,11.0979,1.85292,-0.322317,-0.80442,-0.522839,0.604945,-138.999,95.7847,-5.43192,0,0,-0.0089445,18.2757,3.01594,5.62316,2.08504,-12.2745,-3.28366,-413.443,-430.838,92.0119,370.718,370.718,370.718,-8.76908,-116.326,-13.2637,-216.475,-495.78,176.825,71.3066,71.3066,71.3066
610,0,10.8159,0,0,10.8163,-0.365939,0.507284,-0.164448,-0.00381773,0.0607178,4.49038,4.52575e-15,2.94026,0,0,0.00738083,2.23756,23.7355,2.33577,-832.763,-307.265,453.372,436.104,436.104,436.105,-3.59684,-65.6691,0.524199,-922.898,-310.721,56.3475,217.563,217.563,217.563,-65.7409,2.26395,2.58942,-5.14839,-5.44134,2.35537,0.693628,0.218919,2.0183,-455.116,95.1964,5.44373,0,0,0.101175,11.5227,2.59275,5.41355,0.297659,0.0675747,0.944155,35.5874,-2.0344,2.86729,0,0,-0.112497,18.1634,-3.25237,-5.4039,-2.16174,35.1196,-1.87477,-1058.11,-317.318,133.417,370.477,370.477,370.477,-3.59684,-65.6691,0.524209,-856.848,-313.997,26.5816,72.5211,72.5211,72.5212,-2.36655,18.2984,5.87267,-650.583,-380.12,853.736,120.607,120.607,120.607,13.9817,0,0,14.3298,1.77887,-12.5246,-0.179685,-0.0748807,0.0285373,-6.76374,-0,-4.41053,0,0,-0.0324276,-0.703782,-22.4264,2.29055,-485.837,-441.827,471.67,414.941,414.941,414.941,-8.28925,-114.481,-12.9957,-273.332,-477.339,136.773,213.92,213.92,213.92,-115.05,-0.0129218,-12.9607,40.668,-1.29602,-3.84827,-0.777833,-1.31327,1.90528,520.096,637.644,-31.9008,0,0,0.27265,11.2348,2.47866,-2.27898,-0.547153,-0.656367,0.757844,-76.03,128.491,-4.11916,0,0,-0.189646,18.1634,3.25237,5.4039,1.77144,-11.1093,0.170048,-410.499,-429.699,88.0306,370.155,370.155,370.155,-8.28922,-114.481,-12.9957,-210.379,-493.332,166.197,71.3066,71.3066,71.3066
611,0,9.28194,0,0,9.28456,-0.528689,1.35679,-0.167696,-0.00298534,0.0512128,5.67235,2.05716e-15,5.3647,0,0,0.00918383,2.57718,23.573,1.78932,-814.383,-306.729,451.847,436.58,436.58,436.58,-4.09689,-62.2643,0.165662,-919.617,-310.747,54.3567,217.563,217.563,217.563,-62.3506,2.15336,3.254,-5.04601,-6.09348,2.61051,0.698714,0.244994,2.00167,-475.162,81.4985,9.97633,0,0,0.253023,13.5423,2.84994,4.83641,0.299345,0.0484113,0.974908,35.7153,-10.64,5.26439,0,0,-0.115847,18.0662,-3.48597,-5.20772,-1.93887,36.9934,-1.64209,-1050.11,-315.575,139.296,370.577,370.577,370.577,-4.09689,-62.2643,0.165677,-855.481,-314.864,20.7568,72.5211,72.5211,72.5212,-2.63406,18.2066,5.7125,-633.301,-382.992,853.343,120.607,120.607,120.607,12.8857,0,0,13.4271,2.43593,-16.1826,-0.20222,-0.0777909,0.0764304,-12.7317,2.09573e-15,-1.12354,0,0,-0.0282437,-1.47582,-21.2463,8.18888,-476.395,-442.499,468.342,415.074,415.074,415.074,-7.59299,-112.405,-12.4771,-268.741,-475.603,128.208,213.92,213.92,213.92,-112.856,0.487023,-12.3524,39.477,-0.553209,2.03892,-0.0788404,-1.39121,2.08152,149.843,729.423,-29.7585,0,0,-0.505161,10.8279,3.41554,-3.76836,-0.193594,-0.681095,0.917524,-22.0114,146.172,-0.798066,0,0,-0.247126,18.0662,3.48597,5.20772,1.50209,-10.1443,4.52706,-408.203,-429.623,84.6599,368.908,368.908,368.908,-7.59298,-112.405,-12.4771,-204.554,-490.857,155.263,71.3066,71.3066,71.3066
