

Model Outputs
100
,,C03:LAbsAnkleAngle,,,C03:LAnkleAngles,,,C03:LAnkleForce,,,C03:LAnkleMoment,,,C03:LAnklePower,,,C03:LFE,,,,,,,,,C03:LFO,,,,,,,,,C03:LFootProgressAngles,,,C03:LHipAngles,,,C03:LHipForce,,,C03:LHipMoment,,,C03:LHipPower,,,C03:LKneeAngles,,,C03:LKneeForce,,,C03:LKneeMoment,,,C03:LKneePower,,,C03:LPelvisAngles,,,C03:LTI,,,,,,,,,C03:LTO,,,,,,,,,C03:PEL,,,,,,,,,C03:RAbsAnkleAngle,,,C03:RAnkleAngles,,,C03:RAnkleForce,,,C03:RAnkleMoment,,,C03:RAnklePower,,,C03:RFE,,,,,,,,,C03:RFO,,,,,,,,,C03:RFootProgressAngles,,,C03:RHipAngles,,,C03:RHipForce,,,C03:RHipMoment,,,C03:RHipPower,,,C03:RKneeAngles,,,C03:RKneeForce,,,C03:RKneeMoment,,,C03:RKneePower,,,C03:RPelvisAngles,,,C03:RTI,,,,,,,,,C03:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
565,0,-5.63793,0,0,-5.91258,2.40988,-17.5021,,,,,,,,,,0.383236,-12.8606,-8.35197,-1620.36,-4.76684,436.677,377.354,377.354,377.354,5.12064,-95.194,1.08612,-1402.06,12.8502,89.7113,212.643,212.643,212.643,-95.3413,-2.71562,-3.77915,24.0866,-1.25999,3.68761,,,,,,,,,,1.68009,0.795507,5.34432,,,,,,,,,,11.2617,0.239257,4.97319,0.233145,-11.1433,-13.7461,-1552.34,-11.551,88.8877,335.443,335.443,335.443,5.12064,-95.194,1.08614,-1331.64,17.522,96.2951,70.8811,70.8811,70.881,-0.250414,11.265,-4.98068,-1711.44,-84.6887,805.651,167.762,167.762,167.762,-3.58323,0,0,-3.81469,3.28371,-20.0479,,,,,,,,,,5.83851,28.338,20.6797,-1919.81,-164.468,440.307,418.033,418.033,418.033,-11.3363,-46.6311,-7.24312,-2038.56,-176.547,62.2844,211.542,211.542,211.542,-46.5998,2.11774,-12.9129,-17.468,-1.20456,25.932,,,,,,,,,,7.08168,8.33277,-14.5545,,,,,,,,,,11.2617,-0.239257,-4.97319,7.74546,37.973,4.54016,-2132.98,-130.065,171.213,325.815,325.815,325.815,-11.3363,-46.6311,-7.24314,-1988.62,-192.305,15.06,70.5141,70.5141,70.5141
566,0,-5.50672,0,0,-5.82797,2.67663,-19.0822,,,,,,,,,,0.436615,-12.7126,-9.07285,-1605.81,-3.14822,437.797,377.328,377.328,377.328,5.12271,-93.1881,0.584974,-1400.6,12.8075,84.1633,212.643,212.643,212.643,-93.3345,-2.97088,-3.52115,23.9557,-0.864195,4.44043,,,,,,,,,,3.60541,1.28324,6.44622,,,,,,,,,,11.2499,0.561154,4.79155,-0.0492542,-9.04819,-15.5799,-1550.92,-10.9778,88.532,334.638,334.638,334.638,5.12271,-93.1881,0.585027,-1329.98,17.1608,88.2784,70.8811,70.8811,70.8811,0.0886263,11.2667,-4.83119,-1695.76,-82.9844,806.448,167.762,167.762,167.762,-6.43554,0,0,-6.97145,3.81148,-22.5619,,,,,,,,,,5.78724,27.8251,23.4449,-1900.61,-167.319,438.355,418.378,418.378,418.378,-11.5704,-41.6542,-5.87042,-2034.66,-176.502,63.2523,211.542,211.542,211.542,-41.6796,1.34545,-12.6188,-16.8617,-2.03443,28.3292,,,,,,,,,,8.51751,10.6261,-14.5408,,,,,,,,,,11.2499,-0.561154,-4.79155,9.15261,39.6574,6.65042,-2119.66,-130.57,179.904,321.581,321.581,321.581,-11.5704,-41.6541,-5.87043,-1988.91,-191.907,11.8592,70.5142,70.5141,70.5141
567,0,-5.08361,0,0,-5.41802,2.86983,-20.2079,-0.283808,0.0168662,-0.0152351,-46.9638,-1.77287e-15,6.58989,0,0,0.050065,0.426601,-12.5179,-9.27814,-1591.72,-1.5219,438.999,377.445,377.445,377.445,4.98136,-91.546,0.346928,-1399.35,12.8439,79.9855,212.643,212.643,212.643,-91.6841,-2.98938,-3.33643,23.7298,-0.456358,4.66616,-0.274779,-0.132181,1.9924,58.0576,-37.8077,4.03186,0,0,0.054839,5.42196,1.7614,7.54324,-0.12894,-0.097932,0.813657,57.714,12.1841,2.67079,0,0,-0.183346,11.1908,0.890241,4.61695,-0.432534,-7.02622,-16.877,-1549.56,-10.4625,88.6749,333.966,333.966,333.966,4.98136,-91.546,0.346928,-1328.62,16.9691,82.0651,70.8811,70.8811,70.8811,0.436064,11.2204,-4.68912,-1680.28,-81.2607,807.517,167.762,167.762,167.762,-9.33255,0,0,-10.3129,4.35671,-25.0646,-0.383304,0.0113041,-0.104022,-46.4849,-3.38698e-15,8.60866,0,0,-0.20472,5.71517,27.1471,26.5537,-1880.22,-170.424,436.343,418.453,418.453,418.453,-11.7916,-36.5542,-4.25878,-2029.62,-176.272,65.5271,211.542,211.542,211.542,-36.6622,0.329742,-12.3202,-16.1182,-2.9056,31.0798,0.370536,-0.170453,2.33572,-441.403,142.676,21.5827,0,0,0.494852,9.82921,13.3331,-14.8174,0.243368,0.17944,1.25874,74.9528,-31.558,1.40601,0,0,-0.14314,11.1908,-0.890241,-4.61695,10.7283,41.3175,8.66386,-2104.39,-130.847,189.17,316.829,316.829,316.829,-11.7916,-36.5542,-4.25882,-1988.49,-191.318,10.2655,70.5142,70.5141,70.5141
568,0,-4.43191,0,0,-4.74734,3.00433,-20.9821,-0.252656,0.00858233,-0.0186814,-42.1051,7.37594e-16,5.12142,0,0,0.0552055,0.369426,-12.2285,-9.16017,-1578.43,0.0589961,440.142,377.738,377.738,377.738,4.73346,-90.2537,0.344578,-1398.24,12.8978,76.9979,212.643,212.643,212.643,-90.3782,-2.80356,-3.22201,23.3716,-0.0417978,4.55018,-0.499899,-0.233071,1.86613,143.71,-75.9523,3.92277,0,0,0.160707,7.03642,2.18571,8.54767,-0.220083,-0.154831,0.725174,46.7098,2.65006,1.64359,0,0,-0.118873,11.0953,1.21978,4.46225,-0.874241,-5.12667,-17.7456,-1548.26,-10.0667,89.1551,333.426,333.427,333.426,4.73346,-90.2537,0.344527,-1327.48,16.8817,77.465,70.8811,70.8811,70.881,0.783328,11.1368,-4.56624,-1665.03,-79.5492,808.829,167.762,167.762,167.762,-12.0296,0,0,-13.5664,4.8667,-27.315,-0.422834,3.64133e-05,-0.0979215,-61.5857,3.38698e-15,13.04,0,0,-0.247159,5.53107,26.2874,29.6112,-1858.49,-173.585,434.232,418.239,418.239,418.239,-11.9703,-31.5861,-2.59121,-2022.84,-175.879,69.2645,211.542,211.542,211.542,-31.7874,-0.778887,-12.0676,-15.1986,-3.78401,33.8069,0.493539,-0.134706,2.31824,-515.845,148.1,30.8656,0,0,0.647519,11.1023,16.3746,-15.2531,0.294574,0.2435,1.26247,110.572,-23.8912,0.827105,0,0,-0.31519,11.0953,-1.21978,-4.46225,12.3513,42.979,10.3264,-2087.14,-130.829,198.795,311.767,311.767,311.767,-11.9703,-31.5861,-2.59121,-1986.52,-190.621,10.6515,70.5141,70.5141,70.5141
569,0,-3.62849,0,0,-3.90022,3.09486,-21.4986,-0.221266,0.00299613,-0.0181292,-36.2675,6.48289e-16,3.87005,0,0,0.0529936,0.2818,-11.8083,-8.89283,-1566.18,1.54754,441.12,378.214,378.214,378.214,4.4236,-89.2707,0.528796,-1397.24,12.9345,74.9728,212.643,212.643,212.643,-89.3788,-2.46713,-3.17199,22.8582,0.370008,4.26156,-0.618194,-0.309861,1.75374,191.353,-99.4848,3.92667,0,0,0.261522,8.37429,2.54041,9.38503,-0.263728,-0.189587,0.650441,37.9124,-2.95601,0.993983,0,0,-0.0725337,10.9765,1.541,4.33993,-1.33849,-3.38567,-18.2906,-1547.05,-9.82174,89.8299,332.995,332.994,332.994,4.4236,-89.2706,0.528796,-1326.47,16.8566,74.2055,70.8811,70.8811,70.8811,1.11988,11.029,-4.47399,-1650.07,-77.8867,810.342,167.762,167.762,167.762,-14.2986,0,0,-16.4307,5.30402,-29.1734,-0.445708,-0.00852591,-0.0799683,-74.2975,8.46745e-16,15.0506,0,0,-0.249903,5.18033,25.2409,32.3089,-1835.4,-176.593,432.075,417.708,417.708,417.708,-12.1053,-27.0146,-1.11443,-2013.74,-175.343,74.4172,211.542,211.542,211.542,-27.2994,-1.76361,-11.9157,-14.082,-4.63143,36.2243,0.494899,-0.0811345,2.27486,-533.649,148.236,38.2085,0,0,0.791505,12.4454,19.6314,-15.7229,0.297795,0.293742,1.22022,140.906,-14.6309,-2.60556,0,0,-0.502329,10.9765,-1.541,-4.33993,13.9068,44.6522,11.4706,-2067.95,-130.449,208.534,306.653,306.653,306.652,-12.1053,-27.0146,-1.11443,-1982.09,-189.902,13.107,70.5141,70.5141,70.5141
570,0,-2.751,0,0,-2.96346,3.15115,-21.8179,-0.192131,-0.000107029,-0.0137471,-30.2063,-8.59975e-16,2.86882,0,0,0.0455824,0.174885,-11.243,-8.58056,-1555.11,2.8975,441.88,378.854,378.854,378.854,4.09266,-88.5371,0.846969,-1396.31,12.943,73.664,212.643,212.643,212.643,-88.6285,-2.03592,-3.18033,22.1898,0.766247,3.90154,-0.617748,-0.358849,1.65961,194.898,-108.449,3.84228,0,0,0.315421,9.39934,2.82451,10.0171,-0.258446,-0.199719,0.597141,32.853,-4.76072,0.619871,0,0,-0.045091,10.8488,1.84311,4.26132,-1.79777,-1.82027,-18.5831,-1545.91,-9.7353,90.5898,332.638,332.638,332.638,4.09266,-88.5371,0.846994,-1325.56,16.8754,71.9701,70.8811,70.8811,70.8811,1.43338,10.9114,-4.42271,-1635.41,-76.3146,812.006,167.762,167.762,167.762,-15.9669,0,0,-18.6396,5.65282,-30.6082,-0.448775,-0.0101932,-0.0490985,-83.0934,-0,13.6296,0,0,-0.205201,4.65359,24.0157,34.4827,-1811.06,-179.287,430.011,416.824,416.824,416.824,-12.2215,-23.078,-0.0551664,-2001.82,-174.675,80.7266,211.542,211.542,211.542,-23.4173,-2.41839,-11.899,-12.7677,-5.41331,38.1908,0.395092,-0.034663,2.20166,-503.316,150.121,42.2564,0,0,0.91079,13.9494,22.9697,-16.1316,0.264519,0.314987,1.13218,164.091,-3.59924,-8.5785,0,0,-0.685187,10.8488,-1.84311,-4.26132,15.3094,46.3181,12.0445,-2046.97,-129.675,218.124,301.75,301.75,301.75,-12.2215,-23.078,-0.0551524,-1974.4,-189.214,17.4108,70.5141,70.5141,70.5141
571,0,-1.86763,0,0,-2.01384,3.17664,-21.9621,-0.167971,-0.00139323,-0.00759659,-24.6777,2.57993e-16,2.047,0,0,0.0361806,0.0536834,-10.5411,-8.24714,-1545.19,4.06713,442.423,379.624,379.624,379.624,3.77214,-87.9842,1.2518,-1395.42,12.927,72.8323,212.643,212.643,212.643,-88.0596,-1.55784,-3.24045,21.3889,1.13132,3.49229,-0.530593,-0.382153,1.58855,165.638,-106.204,3.5399,0,0,0.304494,10.1193,3.0383,10.4479,-0.220645,-0.190165,0.566653,30.5362,-4.01257,0.350619,0,0,-0.0287336,10.7263,2.11361,4.23526,-2.23178,-0.427509,-18.6545,-1544.82,-9.797,91.361,332.336,332.336,332.336,3.77213,-87.9841,1.2518,-1324.69,16.9336,70.4361,70.8811,70.8811,70.8811,1.71012,10.7983,-4.42025,-1621.09,-74.8767,813.773,167.762,167.762,167.762,-16.9432,0,0,-20.0207,5.9141,-31.6553,-0.432628,-0.00346119,-0.00864946,-87.1395,-0,9.00845,0,0,-0.124031,3.9769,22.6295,36.1087,-1785.7,-181.594,428.23,415.552,415.552,415.552,-12.3472,-19.9588,0.448666,-1986.75,-173.867,87.7575,211.542,211.542,211.542,-20.3113,-2.61505,-12.0155,-11.2694,-6.10263,39.7019,0.233106,-0.0104635,2.10115,-441.43,157.056,42.7322,0,0,0.989654,15.6537,26.2605,-16.4227,0.212903,0.301979,1.0085,179.457,8.72313,-15.7571,0,0,-0.833249,10.7263,-2.11361,-4.23526,16.5127,47.9241,12.1021,-2024.4,-128.53,227.288,297.293,297.293,297.293,-12.3472,-19.9588,0.448686,-1962.81,-188.546,23.0767,70.5141,70.5141,70.5141
572,0,-1.02976,0,0,-1.11009,3.17093,-21.9298,-0.150331,-0.00122271,-0.00236432,-20.2291,2.64608e-16,1.35236,0,0,0.0274977,-0.0793998,-9.72699,-7.86023,-1536.28,5.02617,442.79,380.475,380.475,380.475,3.48303,-87.5448,1.70216,-1394.53,12.897,72.2699,212.643,212.643,212.643,-87.6058,-1.07094,-3.34315,20.492,1.44798,3.00183,-0.406519,-0.382985,1.54141,123.136,-96.5893,2.94314,0,0,0.246072,10.5759,3.17871,10.7159,-0.173736,-0.168479,0.554855,28.7935,-1.97028,0.0845951,0,0,-0.0170645,10.6212,2.33913,4.26659,-2.62544,0.811316,-18.5131,-1543.74,-9.98105,92.1002,332.09,332.09,332.09,3.48303,-87.5447,1.70211,-1323.83,17.0305,69.3138,70.8811,70.8811,70.881,1.93599,10.7019,-4.47059,-1607.09,-73.6166,815.598,167.762,167.762,167.762,-17.2258,0,0,-20.5263,6.09686,-32.3737,-0.40026,0.00954837,0.0347415,-86.3791,-3.38698e-15,2.47064,0,0,-0.0304856,3.19463,21.1063,37.267,-1759.59,-183.524,426.924,413.873,413.873,413.873,-12.4877,-17.7666,0.373284,-1968.37,-172.894,94.9698,211.542,211.542,211.542,-18.0867,-2.33096,-12.2261,-9.60923,-6.68019,40.8492,0.0452328,-0.0136227,1.98097,-362.792,168.492,39.8396,0,0,1.01566,17.5274,29.3948,-16.5792,0.155898,0.258579,0.864047,186.63,21.7338,-22.4659,0,0,-0.915708,10.6212,-2.33913,-4.26659,17.5082,49.3908,11.7719,-2000.46,-127.092,235.732,293.458,293.458,293.458,-12.4877,-17.7666,0.373304,-1946.97,-187.827,29.4602,70.5141,70.5141,70.5142
573,0,-0.269148,0,0,-0.289717,3.13349,-21.7179,-0.139612,0.000101455,-0.00060334,-17.1427,3.04299e-16,0.758101,0,0,0.0209487,-0.219905,-8.83011,-7.37445,-1528.2,5.76149,443.034,381.361,381.361,381.361,3.23699,-87.1639,2.16252,-1393.61,12.8654,71.8196,212.643,212.643,212.643,-87.2121,-0.604367,-3.47597,19.5371,1.69899,2.38769,-0.299538,-0.366884,1.51918,88.8421,-83.6655,2.03217,0,0,0.18204,10.8251,3.24348,10.8729,-0.141059,-0.143565,0.555099,25.2114,0.165646,-0.212198,0,0,-0.00758203,10.5425,2.50653,4.35513,-2.96773,1.92279,-18.1666,-1542.63,-10.2493,92.7866,331.91,331.91,331.91,3.23699,-87.1638,2.16247,-1322.94,17.1629,68.3783,70.8811,70.8811,70.881,2.09769,10.631,-4.57273,-1593.42,-72.5739,817.447,167.762,167.762,167.762,-16.8903,0,0,-20.2271,6.21292,-32.8239,-0.357676,0.0236221,0.0723026,-81.5949,-3.38698e-15,-4.18003,0,0,0.0509249,2.35437,19.4744,38.1021,-1733,-185.156,426.246,411.801,411.801,411.801,-12.6129,-16.5355,-0.205351,-1946.71,-171.725,101.815,211.542,211.542,211.542,-16.7813,-1.63809,-12.4651,-7.81381,-7.13348,41.7784,-0.138187,-0.0418358,1.85626,-278.864,182.053,33.9612,0,0,0.985767,19.4652,32.2984,-16.6236,0.0997586,0.194847,0.720384,185.581,34.9005,-27.3024,0,0,-0.915566,10.5425,-2.50653,-4.35513,18.3215,50.6233,11.225,-1975.37,-125.481,243.171,290.353,290.353,290.353,-12.6128,-16.5355,-0.205353,-1926.83,-186.945,35.8953,70.5142,70.5141,70.5141
