

Model Outputs
100
,,C05:LAbsAnkleAngle,,,C05:LAnkleAngles,,,C05:LAnkleForce,,,C05:LAnkleMoment,,,C05:LAnklePower,,,C05:LFE,,,,,,,,,C05:LFO,,,,,,,,,C05:LFootProgressAngles,,,C05:LHipAngles,,,C05:LHipForce,,,C05:LHipMoment,,,C05:LHipPower,,,C05:LKneeAngles,,,C05:LKneeForce,,,C05:LKneeMoment,,,C05:LKneePower,,,C05:LPelvisAngles,,,C05:LTI,,,,,,,,,C05:LTO,,,,,,,,,C05:PEL,,,,,,,,,C05:RAbsAnkleAngle,,,C05:RAnkleAngles,,,C05:RAnkleForce,,,C05:RAnkleMoment,,,C05:RAnklePower,,,C05:RFE,,,,,,,,,C05:RFO,,,,,,,,,C05:RFootProgressAngles,,,C05:RHipAngles,,,C05:RHipForce,,,C05:RHipMoment,,,C05:RHipPower,,,C05:RKneeAngles,,,C05:RKneeForce,,,C05:RKneeMoment,,,C05:RKneePower,,,C05:RPelvisAngles,,,C05:RTI,,,,,,,,,C05:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
768,0,-5.14376,0,0,-5.15218,0.418666,-3.26792,,,,,,,,,,3.76755,17.3511,-24.8249,-1988.28,5.26355,560.03,443.318,443.318,443.318,-1.09,-44.2905,-1.89677,-2185.62,21.5283,35.3921,272.012,272.012,272.012,-44.2764,-1.31301,1.68188,8.77709,-9.33175,29.0494,,,,,,,,,,20.3284,15.4757,-14.514,,,,,,,,,,24.0175,-2.75489,-4.65341,-1.3462,40.5573,-4.95699,-2308.39,9.09889,186.075,473.27,473.27,473.27,-1.09,-44.2904,-1.8968,-2122.35,18.8671,-29.4984,90.6708,90.6708,90.6707,-1.73792,24.1115,5.16159,-1860.47,-114.565,983.246,127.837,127.836,127.836,-9.24491,0,0,-9.46146,1.07544,-12.2276,,,,,,,,,,-9.92942,-17.7441,32.8784,-1698.25,-213.178,545.302,466.935,466.935,466.935,-6.17587,-94.9297,-7.52698,-1396.04,-240.024,82.8981,259.601,259.601,259.601,-95.0939,0.466705,-8.64513,43.2825,-5.498,28.6743,,,,,,,,,,0.449928,7.99399,-30.5596,,,,,,,,,,24.0175,2.75489,4.65341,1.6569,-14.8291,3.53168,-1576.56,-195.748,83.9082,457.889,457.889,457.889,-6.17587,-94.9296,-7.52697,-1310.83,-253.031,90.494,86.5335,86.5335,86.5334
769,0,-8.14305,0,0,-8.15764,0.431132,-3.41934,,,,,,,,,,4.22711,16.0074,-24.7342,-1963.22,3.76216,556.587,445.16,445.16,445.16,-1.92022,-39.1404,-2.70203,-2186.56,17.822,35.4896,272.012,272.012,272.012,-39.1077,-1.86705,2.66158,10.0459,-9.70737,28.7545,,,,,,,,,,23.8197,16.637,-12.1927,,,,,,,,,,23.902,-3.0324,-4.3097,-1.78767,42.701,-6.14021,-2295.52,8.53835,196.657,470.889,470.889,470.889,-1.92022,-39.1404,-2.70206,-2129.43,13.6116,-34.7915,90.6708,90.6708,90.6707,-2.0883,23.9991,4.87855,-1845.54,-117.518,984.713,127.836,127.836,127.836,-9.25033,0,0,-9.49658,1.15677,-13.0181,,,,,,,,,,-9.79638,-17.515,33.1994,-1685.57,-215.216,546.816,466.577,466.577,466.577,-6.0451,-93.5358,-6.97922,-1394.58,-239.639,77.7104,259.601,259.601,259.6,-93.6898,0.325098,-8.23295,42.9558,-4.91708,29.0177,,,,,,,,,,1.35511,8.66809,-29.5705,,,,,,,,,,23.902,3.0324,4.3097,1.70128,-13.4514,4.71576,-1575.32,-196.615,83.0822,457.421,457.421,457.42,-6.0451,-93.5358,-6.97925,-1309.11,-252.03,83.2219,86.5335,86.5335,86.5336
770,0,-10.6455,0,0,-10.6777,0.513919,-4.42366,-0.588683,0.165808,-0.209738,-116.112,-5.86317e-15,50.9097,0,0,-0.330531,4.70084,14.4591,-24.4034,-1936.96,1.93188,552.911,447.305,447.305,447.305,-2.37076,-34.3674,-3.56867,-2185.81,15.3079,38.9084,272.012,272.012,272.012,-34.3069,-2.67095,3.26887,11.4859,-9.97274,28.2215,0.571321,0.564801,2.46726,-398.793,364.776,3.58291,0,0,1.36675,27.7534,17.6476,-8.97261,-0.116027,0.0660184,1.52706,44.4564,89.4547,47.337,0,0,-0.534173,23.7879,-3.24775,-3.94064,-2.46644,44.9627,-7.8181,-2281.17,7.84067,208.567,467.916,467.916,467.916,-2.37076,-34.3674,-3.56867,-2134.79,10.1377,-35.8666,90.6708,90.6708,90.6708,-2.38204,23.8838,4.55708,-1830.93,-120.45,986.329,127.836,127.836,127.836,-8.91372,0,0,-9.18078,1.2373,-13.7958,-0.247604,-0.0131115,-0.126535,-53.8081,6.50445e-15,10.5902,0,0,0.0564705,-9.5913,-17.2921,33.205,-1673.41,-217.125,548.378,466.213,466.213,466.213,-5.93924,-92.4419,-6.61096,-1394.09,-239.467,73.5087,259.601,259.601,259.601,-92.5877,0.245978,-7.94826,42.6084,-4.34974,29.1052,-0.183973,0.247229,1.93403,118.112,-174.737,4.60394,0,0,0.20963,2.327,9.33747,-28.3833,-0.292335,0.175933,0.783731,-48.4557,-30.43,7.24965,0,0,0.0930339,23.7879,3.24775,3.94064,1.79441,-12.0375,5.76434,-1574.91,-197.315,82.3235,457.161,457.161,457.161,-5.93925,-92.4419,-6.61093,-1308.48,-251.433,77.3781,86.5335,86.5335,86.5336
771,0,-12.4888,0,0,-12.5595,0.64689,-6.03082,-0.590838,0.166163,-0.121933,-128.323,1.17263e-14,53.2981,0,0,-0.210227,5.17485,12.7451,-23.8525,-1909.7,-0.173828,549.249,449.671,449.671,449.671,-2.39053,-30.2169,-4.44386,-2182.01,14.2928,45.4043,272.012,272.012,272.012,-30.1276,-3.62853,3.42444,13.0684,-10.1304,27.4831,0.541567,0.629315,2.45328,-474.241,431.865,6.78068,0,0,1.70766,32.0085,18.4215,-5.26109,-0.0696602,0.0914829,1.47968,140.936,112.819,47.66,0,0,-1.25007,23.6808,-3.39378,-3.56713,-3.26968,47.2599,-9.66235,-2265.03,7.07335,221.436,464.502,464.502,464.502,-2.39053,-30.2168,-4.44391,-2136.58,8.87685,-32.8777,90.6708,90.6708,90.6707,-2.60746,23.7718,4.21655,-1816.61,-123.348,988.069,127.837,127.836,127.836,-8.25692,0,0,-8.53108,1.31206,-14.5132,-0.233602,0.00491073,-0.131875,-50.1711,4.14544e-15,6.14093,0,0,0.0737115,-9.29339,-17.0717,32.8403,-1661.83,-218.795,549.945,465.813,465.813,465.813,-5.82619,-91.6343,-6.40233,-1394.55,-239.334,70.2256,259.601,259.601,259.6,-91.7712,0.245766,-7.75729,42.2355,-3.80491,28.8683,-0.156607,0.347924,1.88916,117.874,-241.534,2.63331,0,0,0.291296,3.38532,9.96073,-26.9532,-0.321737,0.234719,0.751231,-56.3036,-51.782,3.06541,0,0,0.12082,23.6808,3.39378,3.56713,1.92775,-10.5907,6.66304,-1575.36,-197.783,81.6119,457.113,457.113,457.113,-5.82619,-91.6343,-6.40231,-1308.84,-251.014,72.8757,86.5335,86.5335,86.5335
772,0,-13.702,0,0,-13.8373,0.805978,-7.94095,-0.550637,0.133097,-0.0397725,-127.643,5.86317e-15,44.5224,0,0,-0.105021,5.63375,10.9192,-23.1576,-1881.73,-2.45736,545.95,452.069,452.069,452.069,-2.04501,-26.7579,-5.25715,-2174.42,14.6069,54.1799,272.012,272.012,272.012,-26.6517,-4.6033,3.17433,14.7493,-10.1947,26.6202,0.416964,0.632647,2.43608,-492.769,430.888,13.553,0,0,1.80933,36.3952,18.9266,-1.47887,-0.0704388,0.0783377,1.35656,211.425,111.271,37.245,0,0,-1.68674,23.582,-3.4692,-3.20403,-4.08732,49.4913,-11.4077,-2246.9,6.26259,234.761,460.858,460.858,460.858,-2.04501,-26.7579,-5.25712,-2133.81,9.58606,-26.7327,90.6707,90.6708,90.6708,-2.76019,23.6656,3.87166,-1802.56,-126.184,989.915,127.836,127.836,127.837,-7.31214,0,0,-7.57639,1.37717,-15.1342,-0.218196,0.0188165,-0.139817,-45.6271,2.63385e-16,2.86366,0,0,0.0848861,-8.89901,-16.8427,32.1075,-1650.87,-220.164,551.483,465.365,465.365,465.365,-5.68224,-91.0852,-6.34039,-1395.91,-239.089,67.7495,259.601,259.601,259.601,-91.2106,0.337665,-7.63627,41.8279,-3.28991,28.2981,-0.186761,0.420814,1.84958,149.723,-295.757,1.82595,0,0,0.365634,4.53325,10.5076,-25.2949,-0.367889,0.270834,0.717411,-69.1458,-71.6205,0.178285,0,0,0.153235,23.582,3.4692,3.20403,2.09819,-9.11255,7.4002,-1576.69,-197.946,80.9293,457.282,457.282,457.282,-5.68225,-91.0852,-6.34039,-1310.16,-250.588,69.5614,86.5335,86.5335,86.5335
773,0,-14.4206,0,0,-14.6431,0.970235,-9.89458,-0.494418,0.0807319,0.0303219,-120.23,0,29.039,0,0,-0.0563165,6.06635,9.0414,-22.4391,-1853.38,-4.79834,543.414,454.234,454.234,454.234,-1.46165,-23.961,-5.96106,-2162.88,15.79,64.2811,272.012,272.012,272.012,-23.8569,-5.49094,2.64483,16.4796,-10.1855,25.7502,0.256886,0.599525,2.39864,-475.804,386.636,25.9317,0,0,1.74581,40.6888,19.2052,2.03541,-0.0891384,0.0411195,1.19044,261.948,93.9522,20.8787,0,0,-1.87248,23.4906,-3.47545,-2.85991,-4.84117,51.5476,-12.9081,-2226.71,5.40531,247.993,457.184,457.184,457.184,-1.46165,-23.961,-5.96108,-2126.25,11.6061,-18.5543,90.6708,90.6708,90.6708,-2.83997,23.5651,3.53134,-1788.75,-128.924,991.853,127.836,127.836,127.836,-6.1182,0,0,-6.35531,1.43366,-15.6701,-0.202831,0.0270206,-0.150504,-40.6234,2.13571e-15,1.01453,0,0,0.089916,-8.42696,-16.5823,31.0938,-1640.59,-221.244,552.951,464.871,464.871,464.871,-5.49734,-90.759,-6.41254,-1398.21,-238.622,65.9492,259.601,259.601,259.601,-90.8694,0.52479,-7.57092,41.3717,-2.81499,27.4759,-0.2947,0.466049,1.81757,222.53,-335.657,1.74317,0,0,0.449815,5.74094,10.9679,-23.476,-0.438703,0.281131,0.683083,-87.6852,-87.7179,-1.2171,0,0,0.191311,23.4906,3.47545,2.85991,2.30695,-7.60687,8.00309,-1578.97,-197.74,80.2592,457.67,457.671,457.671,-5.49734,-90.759,-6.41259,-1312.44,-250.023,67.2508,86.5335,86.5335,86.5335
774,0,-14.8041,0,0,-15.1257,1.12388,-11.7012,-0.442688,0.0282203,0.0858039,-111.427,1.46579e-15,12.6272,0,0,-0.0448,6.46964,7.1657,-21.8278,-1824.99,-7.08224,541.981,455.902,455.902,455.902,-0.789805,-21.7672,-6.54384,-2147.52,17.2703,74.8263,272.012,272.012,272.012,-21.6822,-6.2414,1.99643,18.2154,-10.1222,24.996,0.118206,0.549582,2.31871,-449.707,326.246,42.0676,0,0,1.61617,44.6816,19.3607,5.07281,-0.096422,-0.00102704,1.01411,299.112,72.9216,4.16886,0,0,-1.87501,23.4051,-3.41509,-2.53743,-5.49226,53.3287,-14.1263,-2204.52,4.4859,260.62,453.594,453.594,453.594,-0.789805,-21.7672,-6.5439,-2114.04,14.1115,-9.3781,90.6708,90.6708,90.6708,-2.84892,23.4699,3.19887,-1775.16,-131.532,993.871,127.836,127.836,127.837,-4.7191,0,0,-4.91468,1.48969,-16.1987,-0.188664,0.0287385,-0.161749,-35.4992,2.76554e-15,0.632997,0,0,0.0894139,-7.91673,-16.2548,29.9744,-1631.1,-222.117,554.302,464.345,464.345,464.345,-5.27456,-90.6161,-6.60446,-1401.51,-237.869,64.6918,259.601,259.601,259.601,-90.7085,0.799689,-7.55487,40.8462,-2.39438,26.5762,-0.467262,0.484213,1.79206,328.386,-358.701,1.76553,0,0,0.566298,6.93928,11.3587,-21.597,-0.528875,0.269646,0.648662,-110.335,-97.7935,-1.13756,0,0,0.230868,23.4051,3.41509,2.53743,2.55935,-6.08338,8.55861,-1582.25,-197.118,79.5894,458.274,458.274,458.274,-5.27456,-90.6161,-6.60446,-1315.73,-249.246,65.7525,86.5335,86.5335,86.5335
775,0,-14.9763,0,0,-15.3959,1.25729,-13.2511,-0.403683,-0.008283,0.127204,-103.81,3.66448e-16,0.0606688,0,0,-0.0390365,6.84872,5.33253,-21.4311,-1796.82,-9.22392,541.858,456.894,456.894,456.894,-0.159413,-20.1343,-7.01406,-2128.55,18.532,85.0986,272.012,272.012,272.012,-20.0771,-6.84384,1.37414,19.9237,-10.0203,24.4552,0.0383846,0.495941,2.18053,-432.678,268.814,58.0685,0,0,1.48894,48.2217,19.5192,7.55425,-0.0763596,-0.0328499,0.849223,325.816,56.994,-8.45351,0,0,-1.74423,23.3236,-3.29163,-2.23506,-6.03414,54.7567,-15.0946,-2180.47,3.48086,272.208,450.102,450.102,450.102,-0.159414,-20.1342,-7.01413,-2097.43,16.3576,-0.037715,90.6709,90.6708,90.6707,-2.79094,23.3784,2.87349,-1761.78,-133.977,995.961,127.837,127.836,127.836,-3.16494,0,0,-3.30725,1.5602,-16.8601,-0.176018,0.0239586,-0.169694,-30.451,7.38622e-16,1.58957,0,0,0.0853652,-7.41914,-15.8175,28.9825,-1622.56,-222.914,555.479,463.805,463.805,463.805,-5.02424,-90.6147,-6.90494,-1405.88,-236.816,63.8488,259.601,259.601,259.601,-90.6866,1.1515,-7.58881,40.2249,-2.04449,25.8353,-0.659036,0.471314,1.7728,442.309,-358.957,1.21266,0,0,0.725991,8.02879,11.7253,-19.7631,-0.617729,0.243069,0.615726,-132.782,-99.4881,0.248567,0,0,0.258049,23.3236,3.29163,2.23506,2.86513,-4.55921,9.20883,-1586.61,-196.063,78.9175,459.069,459.069,459.069,-5.02424,-90.6147,-6.90495,-1320.11,-248.244,64.8766,86.5335,86.5335,86.5335
776,0,-14.9973,0,0,-15.5044,1.368,-14.5224,-0.359646,-0.0386628,0.15566,-95.2584,1.90553e-14,-8.49589,0,0,-0.0286538,7.21375,3.56468,-21.3081,-1769.07,-11.179,543.084,457.152,457.152,457.152,0.35281,-19.0528,-7.38048,-2106.15,19.2296,94.5661,272.012,272.012,272.012,-19.0237,-7.30364,0.868835,21.5844,-9.89175,24.177,0.0157547,0.415857,1.97252,-422.103,202.413,75.8321,0,0,1.35405,51.228,19.7881,9.50384,-0.0259853,-0.066929,0.684771,339.945,39.706,-16.7456,0,0,-1.4929,23.2434,-3.11027,-1.94773,-6.48336,55.7841,-15.8768,-2154.72,2.34857,282.416,446.682,446.682,446.682,0.352811,-19.0528,-7.3805,-2076.6,17.8547,8.85724,90.6709,90.6708,90.6708,-2.67231,23.2882,2.55136,-1748.57,-136.239,998.114,127.836,127.836,127.837,-1.51099,0,0,-1.58723,1.66448,-17.8296,-0.164948,0.013914,-0.16823,-25.6782,3.89351e-15,3.52103,0,0,0.0812788,-6.98253,-15.23,28.3562,-1615.14,-223.783,556.431,463.279,463.279,463.279,-4.75586,-90.7113,-7.31265,-1411.4,-235.501,63.2951,259.601,259.601,259.601,-90.7603,1.57601,-7.67932,39.4798,-1.77953,25.4951,-0.793169,0.418783,1.75504,522.77,-327.818,-0.137468,0,0,0.896303,8.90184,12.1314,-18.0502,-0.668611,0.208353,0.588988,-146.752,-91.4068,2.55406,0,0,0.25019,23.2434,3.11027,1.94773,3.23818,-3.05712,10.1256,-1592.1,-194.591,78.2541,460.021,460.021,460.021,-4.75587,-90.7113,-7.31265,-1325.65,-247.065,64.433,86.5335,86.5335,86.5335
